Labels,2ms_77k,
Type,Time Scan,
Comment,,
Start,0.00,
Stop,1.998E008,
Step,2E05,
Fixed/Offset, ,
XAxis,Time,
YAxis,Counts,

1.396E008,5.877E+3,
1.398E008,5.849E+3,
1.4E08,5.885E+3,
1.402E008,5.755E+3,
1.404E008,5.794E+3,
1.406E008,5.823E+3,
1.408E008,5.648E+3,
1.41E08,5.724E+3,
1.412E008,5.819E+3,
1.414E008,5.820E+3,
1.416E008,5.787E+3,
1.418E008,5.878E+3,
1.42E08,5.795E+3,
1.422E008,5.856E+3,
1.424E008,5.746E+3,
1.426E008,5.645E+3,
1.428E008,5.986E+3,
1.43E08,5.927E+3,
1.432E008,5.916E+3,
1.434E008,5.837E+3,
1.436E008,5.792E+3,
1.438E008,5.698E+3,
1.44E08,5.673E+3,
1.442E008,5.712E+3,
1.444E008,5.737E+3,
1.446E008,5.949E+3,
1.448E008,5.724E+3,
1.45E08,5.688E+3,
1.452E008,5.801E+3,
1.454E008,5.706E+3,
1.456E008,5.725E+3,
1.458E008,5.718E+3,
1.46E08,5.845E+3,
1.462E008,5.686E+3,
1.464E008,5.662E+3,
1.466E008,5.629E+3,
1.468E008,5.959E+3,
1.47E08,5.793E+3,
1.472E008,5.836E+3,
1.474E008,5.669E+3,
1.476E008,5.699E+3,
1.478E008,5.804E+3,
1.48E08,5.895E+3,
1.482E008,5.763E+3,
1.484E008,5.843E+3,
1.486E008,5.852E+3,
1.488E008,5.799E+3,
1.49E08,5.731E+3,
1.492E008,5.813E+3,
1.494E008,5.792E+3,
1.496E008,5.876E+3,
1.498E008,5.702E+3,
1.5E08,5.714E+3,
1.502E008,5.740E+3,
1.504E008,5.808E+3,
1.506E008,5.771E+3,
1.508E008,5.892E+3,
1.51E08,5.863E+3,
1.512E008,5.768E+3,
1.514E008,5.738E+3,
1.516E008,5.688E+3,
1.518E008,5.832E+3,
1.52E08,5.693E+3,
1.522E008,5.874E+3,
1.524E008,5.670E+3,
1.526E008,5.848E+3,
1.528E008,5.774E+3,
1.53E08,5.666E+3,
1.532E008,5.706E+3,
1.534E008,5.928E+3,
1.536E008,5.826E+3,
1.538E008,5.823E+3,
1.54E08,5.849E+3,
1.542E008,5.799E+3,
1.544E008,5.758E+3,
1.546E008,5.793E+3,
1.548E008,5.788E+3,
1.55E08,5.773E+3,
1.552E008,5.780E+3,
1.554E008,5.767E+3,
1.556E008,5.835E+3,
1.558E008,5.773E+3,
1.56E08,5.626E+3,
1.562E008,5.731E+3,
1.564E008,5.827E+3,
1.566E008,5.877E+3,
1.568E008,5.857E+3,
1.57E08,5.847E+3,
1.572E008,5.749E+3,
1.574E008,5.863E+3,
1.576E008,5.869E+3,
1.578E008,5.710E+3,
1.58E08,5.844E+3,
1.582E008,5.707E+3,
