Distance (µm),Er Lα1,O Kα1,Si Kα1,Zn Kα1,Na Kα1_2,Te Kα1,
0.335189072253301,1,326,485,14,18,0,
0.339327208947786,1,275,473,10,15,0,
0.343465345642272,2,325,459,10,12,0,
0.347603482336757,0,274,486,9,19,0,
0.351741619031242,0,316,470,8,19,0,
0.355879755725727,3,300,463,12,22,0,
0.360017892420212,1,262,496,12,17,0,
0.364156029114698,1,266,480,14,17,0,
0.368294165809183,2,295,465,12,15,0,
0.372432302503668,2,270,451,12,11,0,
0.376570439198153,5,268,455,11,24,0,
0.380708575892638,2,276,493,6,23,0,
0.384846712587124,5,267,474,11,24,1,
0.388984849281609,2,295,438,11,14,0,
0.393122985976094,1,264,477,8,20,1,
0.397261122670579,1,297,465,9,12,0,
0.401399259365064,3,289,435,10,21,1,
0.40553739605955,1,292,468,10,9,0,
0.409675532754035,0,279,464,17,21,0,
0.41381366944852,4,295,452,9,12,0,
0.417951806143005,0,310,474,10,15,0,
0.42208994283749,1,291,402,14,16,1,
0.426228079531976,2,269,482,10,15,0,
0.430366216226461,0,277,477,9,18,0,
0.434504352920946,3,300,449,15,13,1,
0.438642489615431,0,311,463,12,15,0,
0.442780626309916,0,295,449,12,16,0,
0.446918763004401,1,301,467,15,17,0,
0.451056899698887,0,278,469,18,18,0,
0.455195036393372,2,281,444,14,17,0,
0.459333173087857,1,300,464,14,19,1,
0.463471309782342,2,325,431,7,21,0,
0.467609446476828,2,274,426,10,15,0,
0.471747583171313,2,308,471,9,22,1,
0.475885719865798,1,296,477,13,16,0,
0.480023856560283,0,274,501,8,20,0,
0.484161993254768,2,299,434,10,8,0,
0.488300129949253,1,292,425,14,16,0,
0.492438266643739,2,281,407,12,15,0,
0.496576403338224,5,306,433,9,14,0,
0.500714540032709,0,311,432,13,16,1,
0.504852676727194,3,295,440,8,19,0,
0.50899081342168,0,305,448,12,10,0,
0.513128950116165,3,288,467,14,12,0,
0.51726708681065,1,280,415,13,19,0,
0.521405223505135,1,286,407,7,17,0,
0.52554336019962,1,319,462,14,16,0,
0.529681496894105,4,266,427,13,23,0,
0.533819633588591,1,291,428,10,24,0,
0.537957770283076,2,277,435,13,22,1,
0.542095906977561,4,308,452,13,16,1,
0.546234043672046,3,310,450,13,15,0,
0.550372180366531,1,266,466,10,23,0,
0.554510317061017,2,303,408,12,13,0,
0.558648453755502,1,289,472,10,19,1,
0.562786590449987,3,259,444,10,19,0,
0.566924727144472,1,279,450,14,9,1,
0.571062863838957,4,270,460,10,17,0,
0.575201000533443,2,279,464,21,19,1,
0.579339137227928,2,287,421,15,13,0,
