Distance (µm),Zn Kα1,O Kα1,Si Kα1,Ir Lα1,Pt Lα1,Te Kα1,Er Lα1,Na Kα1_2,
0.899628607752503,0,35,50,0,0,0,0,1,
0.904517893664201,1,25,61,0,0,0,0,1,
0.9094071795759,0,33,58,0,0,0,0,4,
0.914296465487598,2,25,57,0,0,0,0,1,
0.919185751399296,2,33,51,0,0,0,0,2,
0.924075037310995,1,23,67,0,2,0,0,2,
0.928964323222693,0,31,51,2,0,0,0,1,
0.933853609134391,1,26,57,0,0,0,0,0,
0.93874289504609,0,28,57,0,0,0,0,1,
0.943632180957788,0,34,56,1,0,0,0,1,
0.948521466869487,0,42,47,0,0,0,0,0,
0.953410752781185,0,35,60,0,0,0,0,2,
0.958300038692883,0,33,68,1,0,0,0,0,
0.963189324604582,0,35,66,0,2,0,0,0,
0.96807861051628,0,43,66,1,0,0,0,1,
0.972967896427979,0,40,72,0,0,0,0,0,
0.977857182339677,1,39,68,0,0,0,0,0,
0.982746468251375,0,28,70,0,1,0,1,0,
0.987635754163074,0,29,64,1,0,0,0,1,
0.992525040074772,0,35,75,1,1,0,1,0,
0.99741432598647,0,39,73,2,0,0,0,0,
1.00230361189817,0,34,65,1,0,0,0,0,
1.00719289780987,0,32,69,1,1,0,0,1,
1.01208218372157,0,40,73,0,1,0,0,0,
1.01697146963326,0,29,63,1,0,0,1,1,
1.02186075554496,0,33,63,0,0,0,1,3,
1.02675004145666,0,40,53,2,1,0,1,1,
1.03163932736836,0,39,68,0,0,0,0,0,
1.03652861328006,0,39,63,0,0,0,0,0,
1.04141789919176,0,34,67,0,0,0,1,1,
1.04630718510345,1,46,50,0,0,0,0,0,
1.05119647101515,0,29,70,0,0,0,0,0,
1.05608575692685,0,32,55,0,0,0,0,0,
1.06097504283855,0,41,65,0,0,0,0,0,
1.06586432875025,0,42,64,2,0,0,0,1,
1.07075361466195,1,42,56,1,0,0,0,0,
1.07564290057364,0,29,55,0,1,0,0,1,
1.08053218648534,0,33,76,0,0,0,1,0,
1.08542147239704,0,38,61,0,1,0,0,1,
1.09031075830874,0,36,69,0,0,0,0,0,
1.09520004422044,1,28,71,0,1,0,0,0,
1.10008933013214,0,39,58,0,1,0,0,1,
1.10497861604383,0,34,71,0,0,0,0,0,
1.10986790195553,0,42,65,1,0,0,0,1,
1.11475718786723,0,29,60,1,1,0,0,0,
1.11964647377893,0,39,63,0,0,0,1,1,
1.12453575969063,0,36,75,0,0,0,0,0,
1.12942504560233,0,32,57,2,0,0,0,0,
1.13431433151403,1,36,77,0,0,0,0,1,
1.13920361742572,0,40,63,0,0,0,0,0,
1.14409290333742,0,38,75,0,0,0,0,1,
1.14898218924912,0,30,68,0,0,0,0,0,
1.15387147516082,0,28,62,0,0,0,1,0,
1.15876076107252,0,41,62,1,0,0,0,1,
1.16365004698422,0,29,74,2,0,0,0,0,
1.16853933289591,0,36,72,1,0,0,1,0,
1.17342861880761,1,27,78,0,0,0,0,3,
1.17831790471931,1,38,72,0,0,0,0,2,
1.18320719063101,0,37,80,0,0,0,0,1,
1.18809647654271,0,37,56,1,0,0,0,0,
1.19298576245441,0,35,53,0,1,0,0,1,
1.1978750483661,0,29,60,1,0,0,0,0,
1.2027643342778,0,24,64,0,0,0,0,2,
1.2076536201895,0,32,79,0,0,0,0,0,
1.2125429061012,0,35,78,1,0,0,0,2,
1.2174321920129,0,42,54,0,0,0,0,1,
