Distance (µm),Zn Kα1,O Kα1,Si Kα1,Te Kα1,Er Lα1,Na Kα1_2,
0.97134536655974,0,50,84,0,1,1,
0.976539726808722,0,46,83,0,0,2,
0.981734087057705,0,61,114,0,0,1,
0.986928447306688,1,51,87,0,0,0,
0.99212280755567,0,50,93,0,0,1,
0.997317167804653,2,54,99,0,0,0,
1.00251152805364,0,57,106,0,0,2,
1.00770588830262,0,62,98,0,0,1,
1.0129002485516,0,58,98,0,1,3,
1.01809460880058,0,58,94,0,0,3,
1.02328896904957,0,65,111,0,0,1,
1.02848332929855,0,56,100,0,0,2,
1.03367768954753,0,54,107,0,1,0,
1.03887204979651,0,49,105,0,0,1,
1.0440664100455,0,45,109,0,0,1,
1.04926077029448,0,63,94,0,0,1,
1.05445513054346,0,55,98,0,0,1,
1.05964949079244,0,53,110,0,0,0,
1.06484385104143,0,57,100,0,0,0,
1.07003821129041,0,40,91,0,0,1,
1.07523257153939,0,47,95,0,0,0,
1.08042693178837,0,77,115,0,2,0,
1.08562129203736,0,61,113,0,0,1,
1.09081565228634,0,44,76,0,2,1,
1.09601001253532,0,59,99,0,0,1,
1.1012043727843,0,68,88,0,0,0,
1.10639873303329,2,57,99,0,0,2,
1.11159309328227,0,64,104,0,0,1,
1.11678745353125,0,49,70,0,0,1,
1.12198181378023,0,60,83,0,0,0,
1.12717617402922,0,61,101,0,0,1,
1.1323705342782,1,57,89,0,0,2,
1.13756489452718,0,64,90,0,1,3,
1.14275925477616,1,65,98,0,0,0,
1.14795361502515,0,56,99,0,0,1,
1.15314797527413,0,53,106,0,0,1,
1.15834233552311,0,61,99,0,0,1,
1.16353669577209,0,58,106,0,0,1,
1.16873105602108,0,50,110,0,0,1,
1.17392541627006,0,54,121,0,0,2,
1.17911977651904,0,51,102,0,0,0,
1.18431413676803,0,63,97,0,0,2,
1.18950849701701,0,59,111,0,0,0,
1.19470285726599,1,48,96,0,0,0,
1.19989721751497,0,53,82,0,0,0,
1.20509157776396,1,54,99,0,0,2,
1.21028593801294,1,62,90,0,0,1,
1.21548029826192,0,57,105,0,0,1,
1.2206746585109,0,52,92,0,0,2,
1.22586901875989,0,44,90,0,0,0,
1.23106337900887,0,52,107,0,0,1,
1.23625773925785,0,54,96,0,0,2,
1.24145209950683,0,50,94,0,0,0,
1.24664645975582,0,57,89,0,1,2,
1.2518408200048,1,72,89,0,0,2,
1.25703518025378,1,52,98,0,2,3,
1.26222954050276,0,72,84,0,0,1,
1.26742390075175,0,56,89,0,0,0,
1.27261826100073,0,52,111,0,0,0,
1.27781262124971,1,59,98,0,0,1,
1.28300698149869,0,68,80,0,1,0,
1.28820134174768,0,56,113,0,2,1,
1.29339570199666,1,41,127,0,0,1,
