Multi Scans Modified Normalised

Labels	T2_2percent_diffuseReflectance-24900 Normalised	T2_99percent_diffuseReflectance-24900 Normalised	
Type	Emission Scan	Emission Scan	
Comment			
Start	1399.95000	1450.05000	
Stop	1700.25000	1649.55000	
Step	1.050	1.050	
Fixed/Offset	850.00	850.00	
Xaxis	Wavelength	Wavelength	
Yaxis	Counts	Counts	
Scan Corr. by File	False	False	
Corr. by Ref. Det.	False	False	
Fixed/Offset Corr. by File	False	False	
Repeats	1	1	
Dwell Time	0.20	0.20	
Lamp	uF900	uF900	
Temp	0.00	0.00	
Scan Polariser	None	None	
Scan Slit	0.00	0.00	
Fixed/Offset Polariser	None	None	
Fixed/Offset Slit	0.00	0.00	
Detector	NIR PMT	NIR PMT	

1626.75000	2.498E-2	2.816E-2	
1627.8000	2.871E-2	2.475E-2	
1628.85000	2.574E-2	2.419E-2	
1629.9000	2.661E-2	2.076E-2	
1630.95000	2.291E-2	2.309E-2	
1632.000	1.687E-2	1.562E-2	
1633.05000	1.648E-2	1.533E-2	
1634.1000	1.337E-2	1.538E-2	
1635.15000	1.488E-2	1.495E-2	
1636.2000	1.047E-2	1.700E-2	
1637.25000	1.378E-2	1.237E-2	
1638.3000	1.261E-2	1.298E-2	
1639.35000	1.006E-2	1.271E-2	
1640.4000	8.399E-3	1.324E-2	
1641.45000	7.090E-3	8.287E-3	
1642.5000	9.129E-3	8.946E-3	
1643.55000	2.815E-3	1.180E-2	
1644.6000	4.747E-3	8.017E-3	
1645.65000	6.543E-3	9.630E-3	
1646.7000	2.039E-3	7.240E-3	
1647.75000	-4.260E-4	9.892E-3	
1648.8000	1.249E-2	6.589E-3	
1649.85000	7.151E-3	 	
1650.9000	3.013E-3	 	
1651.95000	7.227E-3	 	
1653.000	8.977E-3	 	
1654.05000	5.021E-3	 	
1655.1000	5.112E-3	 	
1656.15000	1.021E-2	 	
1657.2000	8.505E-3	 	
1658.25000	-1.522E-4	 	
1659.3000	4.108E-3	 	
1660.35000	6.101E-3	 	
1661.4000	3.606E-3	 	
1662.45000	5.858E-3	 	
1663.5000	6.801E-3	 	
1664.55000	6.740E-3	 	
1665.6000	8.201E-3	 	
1666.65000	8.475E-3	 	
1667.7000	3.271E-3	 	
1668.75000	3.302E-3	 	
1669.8000	4.625E-3	 	
1670.85000	8.520E-4	 	
1671.9000	-4.352E-3	 	
1672.95000	4.443E-3	 	
1674.000	4.412E-4	 	
1675.05000	1.902E-3	 	
1676.1000	-3.804E-4	 	
1677.15000	-6.603E-3	 	
1678.2000	-6.938E-3	 	
1679.25000	4.017E-3	 	
1680.3000	2.510E-3	 	
1681.35000	4.458E-3	 	
1682.4000	1.993E-3	 	
1683.45000	1.613E-3	 	
1684.5000	-9.129E-4	 	
1685.55000	2.069E-3	 	
1686.6000	-3.621E-3	 	
1687.65000	-5.219E-3	 	
1688.7000	8.520E-4	 	
1689.75000	9.890E-4	 	
1690.8000	-3.454E-3	 	
1691.85000	-2.252E-3	 	
1692.9000	-8.368E-4	 	
1693.95000	2.328E-3	 	
1695.000	-2.800E-3	 	
1696.05000	8.368E-4	 	
1697.1000	-3.667E-3	 	
1698.15000	1.369E-3	 	
1699.2000	-4.473E-3	 	
1700.25000	-6.086E-5	 	
