Labels,T1_100ms_pump,
Type,Time Scan,
Comment,,
Start,0.00,
Stop,3.996E008,
Step,4E05,
Fixed/Offset, ,
XAxis,Time,
YAxis,Counts,

1.4E08,3.073E+4,
1.404E008,3.031E+4,
1.408E008,2.914E+4,
1.412E008,2.879E+4,
1.416E008,2.778E+4,
1.42E08,2.678E+4,
1.424E008,2.636E+4,
1.428E008,2.597E+4,
1.432E008,2.484E+4,
1.436E008,2.455E+4,
1.44E08,2.382E+4,
1.444E008,2.352E+4,
1.448E008,2.261E+4,
1.452E008,2.209E+4,
1.456E008,2.146E+4,
1.46E08,2.168E+4,
1.464E008,2.069E+4,
1.468E008,2.008E+4,
1.472E008,1.986E+4,
1.476E008,1.946E+4,
1.48E08,1.874E+4,
1.484E008,1.843E+4,
1.488E008,1.803E+4,
1.492E008,1.735E+4,
1.496E008,1.703E+4,
1.5E08,1.652E+4,
1.504E008,1.633E+4,
1.508E008,1.574E+4,
1.512E008,1.548E+4,
1.516E008,1.503E+4,
1.52E08,1.509E+4,
1.524E008,1.478E+4,
1.528E008,1.417E+4,
1.532E008,1.399E+4,
1.536E008,1.379E+4,
1.54E08,1.337E+4,
1.544E008,1.310E+4,
1.548E008,1.279E+4,
1.552E008,1.261E+4,
1.556E008,1.233E+4,
1.56E08,1.192E+4,
1.564E008,1.192E+4,
1.568E008,1.186E+4,
1.572E008,1.140E+4,
1.576E008,1.132E+4,
1.58E08,1.092E+4,
1.584E008,1.086E+4,
1.588E008,1.063E+4,
1.592E008,1.070E+4,
1.596E008,1.023E+4,
1.6E08,9.860E+3,
1.604E008,9.867E+3,
1.608E008,9.691E+3,
1.612E008,9.418E+3,
1.616E008,9.196E+3,
1.62E08,9.050E+3,
1.624E008,9.162E+3,
1.628E008,9.126E+3,
1.632E008,8.759E+3,
1.636E008,8.577E+3,
1.64E08,8.434E+3,
1.644E008,8.365E+3,
1.648E008,8.459E+3,
1.652E008,7.970E+3,
1.656E008,8.003E+3,
1.66E08,7.964E+3,
1.664E008,7.818E+3,
1.668E008,7.675E+3,
1.672E008,7.510E+3,
1.676E008,7.464E+3,
1.68E08,7.309E+3,
1.684E008,7.006E+3,
1.688E008,7.238E+3,
1.692E008,6.742E+3,
1.696E008,7.055E+3,
1.7E08,6.855E+3,
1.704E008,6.771E+3,
1.708E008,6.507E+3,
1.712E008,6.534E+3,
1.716E008,6.488E+3,
1.72E08,6.408E+3,
1.724E008,6.346E+3,
1.728E008,6.310E+3,
1.732E008,6.256E+3,
1.736E008,6.293E+3,
1.74E08,6.179E+3,
1.744E008,6.110E+3,
1.748E008,6.125E+3,
1.752E008,5.803E+3,
1.756E008,5.902E+3,
1.76E08,5.788E+3,
1.764E008,5.806E+3,
1.768E008,5.857E+3,
1.772E008,5.633E+3,
1.776E008,5.600E+3,
1.78E08,5.580E+3,
1.784E008,5.553E+3,
1.788E008,5.550E+3,
1.792E008,5.530E+3,
1.796E008,5.437E+3,
1.8E08,5.213E+3,
1.804E008,5.373E+3,
1.808E008,5.258E+3,
1.812E008,5.128E+3,
1.816E008,5.143E+3,
1.82E08,5.330E+3,
1.824E008,5.195E+3,
1.828E008,5.054E+3,
1.832E008,5.049E+3,
1.836E008,5.102E+3,
1.84E08,5.145E+3,
1.844E008,5.084E+3,
1.848E008,4.940E+3,
1.852E008,4.911E+3,
1.856E008,4.961E+3,
1.86E08,4.859E+3,
1.864E008,4.794E+3,
1.868E008,4.838E+3,
1.872E008,4.824E+3,
1.876E008,4.764E+3,
1.88E08,4.763E+3,
1.884E008,4.745E+3,
1.888E008,4.613E+3,
1.892E008,4.714E+3,
1.896E008,4.685E+3,
1.9E08,4.609E+3,
1.904E008,4.608E+3,
1.908E008,4.631E+3,
1.912E008,4.614E+3,
1.916E008,4.706E+3,
1.92E08,4.642E+3,
1.924E008,4.696E+3,
1.928E008,4.524E+3,
1.932E008,4.471E+3,
1.936E008,4.681E+3,
1.94E08,4.277E+3,
1.944E008,4.427E+3,
1.948E008,4.515E+3,
1.952E008,4.386E+3,
1.956E008,4.405E+3,
1.96E08,4.319E+3,
1.964E008,4.376E+3,
1.968E008,4.454E+3,
1.972E008,4.404E+3,
1.976E008,4.400E+3,
1.98E08,4.433E+3,
1.984E008,4.368E+3,
1.988E008,4.367E+3,
1.992E008,4.322E+3,
1.996E008,4.239E+3,
2E08,4.288E+3,
2.004E008,4.363E+3,
2.008E008,4.246E+3,
2.012E008,4.419E+3,
2.016E008,4.234E+3,
2.02E08,4.180E+3,
2.024E008,4.253E+3,
2.028E008,4.320E+3,
2.032E008,4.189E+3,
2.036E008,4.202E+3,
2.04E08,4.260E+3,
2.044E008,4.351E+3,
2.048E008,4.220E+3,
2.052E008,4.307E+3,
2.056E008,4.378E+3,
2.06E08,4.299E+3,
2.064E008,4.156E+3,
2.068E008,4.276E+3,
2.072E008,4.195E+3,
2.076E008,4.037E+3,
2.08E08,4.238E+3,
2.084E008,4.183E+3,
2.088E008,4.116E+3,
2.092E008,4.180E+3,
2.096E008,4.131E+3,
2.1E08,4.164E+3,
2.104E008,4.171E+3,
2.108E008,4.074E+3,
2.112E008,4.147E+3,
2.116E008,4.092E+3,
2.12E08,4.094E+3,
2.124E008,4.197E+3,
2.128E008,4.124E+3,
2.132E008,4.094E+3,
2.136E008,4.217E+3,
2.14E08,4.157E+3,
2.144E008,4.171E+3,
2.148E008,4.168E+3,
2.152E008,4.145E+3,
2.156E008,4.046E+3,
2.16E08,4.084E+3,
2.164E008,4.034E+3,
2.168E008,4.170E+3,
2.172E008,4.193E+3,
2.176E008,4.119E+3,
2.18E08,4.021E+3,
2.184E008,4.038E+3,
2.188E008,3.873E+3,
2.192E008,4.078E+3,
2.196E008,4.217E+3,
2.2E08,4.052E+3,
2.204E008,4.212E+3,
2.208E008,4.099E+3,
2.212E008,4.033E+3,
2.216E008,3.986E+3,
2.22E08,4.048E+3,
2.224E008,3.968E+3,
2.228E008,4.108E+3,
2.232E008,3.914E+3,
2.236E008,4.083E+3,
2.24E08,4.066E+3,
2.244E008,4.016E+3,
2.248E008,4.048E+3,
2.252E008,4.089E+3,
2.256E008,4.017E+3,
2.26E08,4.080E+3,
2.264E008,4.166E+3,
2.268E008,4.003E+3,
2.272E008,4.091E+3,
2.276E008,4.024E+3,
2.28E08,4.092E+3,
2.284E008,3.998E+3,
2.288E008,4.041E+3,
2.292E008,4.053E+3,
2.296E008,3.992E+3,
2.3E08,3.986E+3,
2.304E008,4.031E+3,
2.308E008,3.991E+3,
2.312E008,4.072E+3,
2.316E008,4.074E+3,
2.32E08,4.147E+3,
2.324E008,4.138E+3,
2.328E008,4.035E+3,
2.332E008,4.094E+3,
2.336E008,4.000E+3,
2.34E08,4.044E+3,
2.344E008,4.064E+3,
2.348E008,4.015E+3,
2.352E008,4.047E+3,
2.356E008,4.033E+3,
2.36E08,4.085E+3,
2.364E008,3.928E+3,
2.368E008,4.181E+3,
2.372E008,4.121E+3,
2.376E008,4.000E+3,
2.38E08,4.016E+3,
2.384E008,3.994E+3,
2.388E008,4.051E+3,
2.392E008,4.008E+3,
2.396E008,3.953E+3,
2.4E08,3.959E+3,
2.404E008,3.968E+3,
2.408E008,4.126E+3,
2.412E008,3.996E+3,
2.416E008,3.892E+3,
2.42E08,4.004E+3,
2.424E008,4.048E+3,
2.428E008,4.084E+3,
2.432E008,4.035E+3,
2.436E008,3.975E+3,
2.44E08,4.096E+3,
2.444E008,4.132E+3,
2.448E008,4.025E+3,
2.452E008,3.898E+3,
2.456E008,4.159E+3,
2.46E08,3.971E+3,
2.464E008,4.080E+3,
2.468E008,3.957E+3,
2.472E008,4.004E+3,
2.476E008,3.964E+3,
2.48E08,4.045E+3,
2.484E008,4.040E+3,
2.488E008,3.973E+3,
2.492E008,3.944E+3,
2.496E008,4.058E+3,
2.5E08,4.149E+3,
2.504E008,4.068E+3,
2.508E008,3.985E+3,
2.512E008,4.110E+3,
2.516E008,3.915E+3,
2.52E08,4.083E+3,
2.524E008,4.056E+3,
2.528E008,4.049E+3,
2.532E008,3.958E+3,
2.536E008,4.044E+3,
2.54E08,3.915E+3,
2.544E008,3.862E+3,
2.548E008,3.987E+3,
2.552E008,4.201E+3,
2.556E008,3.970E+3,
2.56E08,3.943E+3,
2.564E008,3.987E+3,
2.568E008,3.947E+3,
2.572E008,3.974E+3,
2.576E008,4.035E+3,
2.58E08,3.853E+3,
2.584E008,4.111E+3,
2.588E008,4.001E+3,
2.592E008,4.102E+3,
2.596E008,3.985E+3,
2.6E08,4.116E+3,
2.604E008,4.008E+3,
2.608E008,4.020E+3,
2.612E008,3.991E+3,
2.616E008,4.023E+3,
2.62E08,3.846E+3,
2.624E008,4.065E+3,
2.628E008,3.962E+3,
2.632E008,4.018E+3,
2.636E008,4.075E+3,
2.64E08,4.057E+3,
2.644E008,3.902E+3,
2.648E008,4.001E+3,
2.652E008,3.993E+3,
2.656E008,4.071E+3,
2.66E08,3.990E+3,
2.664E008,3.977E+3,
2.668E008,3.953E+3,
2.672E008,4.020E+3,
2.676E008,4.039E+3,
2.68E08,4.068E+3,
2.684E008,4.043E+3,
2.688E008,3.960E+3,
2.692E008,3.995E+3,
2.696E008,3.926E+3,
2.7E08,3.834E+3,
2.704E008,4.008E+3,
2.708E008,4.055E+3,
2.712E008,4.089E+3,
2.716E008,4.099E+3,
2.72E08,4.043E+3,
2.724E008,3.969E+3,
2.728E008,4.010E+3,
2.732E008,3.972E+3,
2.736E008,4.094E+3,
2.74E08,3.983E+3,
2.744E008,4.033E+3,
2.748E008,3.982E+3,
2.752E008,4.054E+3,
2.756E008,4.075E+3,
2.76E08,3.956E+3,
2.764E008,3.892E+3,
2.768E008,4.033E+3,
2.772E008,3.879E+3,
2.776E008,3.921E+3,
2.78E08,3.834E+3,
2.784E008,3.963E+3,
2.788E008,4.044E+3,
2.792E008,4.072E+3,
2.796E008,4.035E+3,
2.8E08,3.938E+3,
2.804E008,4.036E+3,
2.808E008,3.935E+3,
2.812E008,3.880E+3,
2.816E008,3.969E+3,
2.82E08,3.953E+3,
2.824E008,4.013E+3,
2.828E008,4.001E+3,
2.832E008,3.910E+3,
2.836E008,4.014E+3,
2.84E08,4.100E+3,
2.844E008,4.022E+3,
2.848E008,4.003E+3,
2.852E008,4.071E+3,
2.856E008,3.972E+3,
2.86E08,4.026E+3,
2.864E008,3.958E+3,
2.868E008,3.943E+3,
2.872E008,3.864E+3,
2.876E008,4.000E+3,
2.88E08,4.035E+3,
2.884E008,4.033E+3,
2.888E008,4.096E+3,
2.892E008,4.092E+3,
2.896E008,4.132E+3,
2.9E08,4.038E+3,
2.904E008,3.971E+3,
2.908E008,4.072E+3,
2.912E008,4.087E+3,
2.916E008,4.040E+3,
2.92E08,4.067E+3,
2.924E008,3.961E+3,
2.928E008,4.060E+3,
2.932E008,3.981E+3,
2.936E008,3.948E+3,
2.94E08,3.938E+3,
2.944E008,4.023E+3,
2.948E008,3.801E+3,
2.952E008,4.067E+3,
2.956E008,4.056E+3,
2.96E08,4.078E+3,
2.964E008,4.039E+3,
2.968E008,3.967E+3,
2.972E008,3.998E+3,
2.976E008,3.874E+3,
2.98E08,3.940E+3,
2.984E008,4.114E+3,
2.988E008,4.044E+3,
2.992E008,3.876E+3,
2.996E008,4.002E+3,
3E08,4.092E+3,
3.004E008,3.985E+3,
3.008E008,3.961E+3,
3.012E008,3.983E+3,
3.016E008,3.901E+3,
3.02E08,3.973E+3,
3.024E008,4.000E+3,
3.028E008,3.995E+3,
3.032E008,3.805E+3,
3.036E008,3.929E+3,
3.04E08,3.938E+3,
3.044E008,3.973E+3,
3.048E008,3.880E+3,
3.052E008,4.032E+3,
3.056E008,4.027E+3,
3.06E08,4.119E+3,
3.064E008,3.945E+3,
3.068E008,4.128E+3,
3.072E008,3.865E+3,
3.076E008,4.016E+3,
3.08E08,3.927E+3,
3.084E008,3.941E+3,
3.088E008,3.985E+3,
3.092E008,3.985E+3,
3.096E008,4.029E+3,
3.1E08,4.037E+3,
3.104E008,4.058E+3,
3.108E008,3.937E+3,
3.112E008,3.926E+3,
3.116E008,4.058E+3,
3.12E08,3.987E+3,
3.124E008,4.005E+3,
3.128E008,4.075E+3,
3.132E008,3.921E+3,
3.136E008,3.944E+3,
3.14E08,4.024E+3,
3.144E008,4.108E+3,
3.148E008,3.930E+3,
3.152E008,4.035E+3,
3.156E008,4.006E+3,
3.16E08,3.982E+3,
3.164E008,3.952E+3,
3.168E008,3.941E+3,
3.172E008,3.914E+3,
3.176E008,3.998E+3,
3.18E08,3.967E+3,
3.184E008,3.939E+3,
3.188E008,3.885E+3,
3.192E008,3.911E+3,
3.196E008,4.026E+3,
3.2E08,4.148E+3,
3.204E008,3.983E+3,
3.208E008,3.962E+3,
3.212E008,3.989E+3,
3.216E008,3.946E+3,
3.22E08,3.955E+3,
3.224E008,3.922E+3,
3.228E008,4.000E+3,
3.232E008,3.999E+3,
3.236E008,3.988E+3,
3.24E08,3.935E+3,
3.244E008,3.975E+3,
3.248E008,4.099E+3,
3.252E008,4.060E+3,
3.256E008,3.883E+3,
3.26E08,3.951E+3,
3.264E008,4.110E+3,
3.268E008,4.030E+3,
3.272E008,3.909E+3,
3.276E008,4.120E+3,
3.28E08,3.948E+3,
3.284E008,4.050E+3,
3.288E008,3.958E+3,
3.292E008,3.972E+3,
3.296E008,4.083E+3,
3.3E08,4.105E+3,
3.304E008,4.074E+3,
3.308E008,3.942E+3,
3.312E008,4.082E+3,
3.316E008,3.976E+3,
3.32E08,4.000E+3,
3.324E008,4.080E+3,
3.328E008,3.975E+3,
3.332E008,3.948E+3,
3.336E008,3.943E+3,
3.34E08,4.083E+3,
3.344E008,3.895E+3,
3.348E008,3.899E+3,
3.352E008,3.875E+3,
3.356E008,3.997E+3,
3.36E08,4.030E+3,
3.364E008,3.965E+3,
3.368E008,3.921E+3,
3.372E008,4.029E+3,
3.376E008,3.924E+3,
3.38E08,4.078E+3,
3.384E008,4.016E+3,
3.388E008,4.046E+3,
3.392E008,4.104E+3,
3.396E008,3.929E+3,
3.4E08,3.999E+3,
3.404E008,3.989E+3,
3.408E008,3.975E+3,
3.412E008,3.930E+3,
3.416E008,3.915E+3,
3.42E08,3.991E+3,
3.424E008,3.929E+3,
3.428E008,3.887E+3,
3.432E008,3.925E+3,
3.436E008,4.019E+3,
3.44E08,3.925E+3,
3.444E008,3.995E+3,
3.448E008,3.929E+3,
3.452E008,4.011E+3,
3.456E008,4.023E+3,
3.46E08,3.950E+3,
3.464E008,3.986E+3,
3.468E008,3.822E+3,
3.472E008,4.032E+3,
3.476E008,4.110E+3,
3.48E08,4.123E+3,
3.484E008,3.952E+3,
3.488E008,3.978E+3,
3.492E008,4.026E+3,
3.496E008,3.908E+3,
3.5E08,3.922E+3,
3.504E008,3.996E+3,
3.508E008,3.898E+3,
3.512E008,4.012E+3,
3.516E008,4.000E+3,
3.52E08,3.947E+3,
3.524E008,4.067E+3,
3.528E008,4.104E+3,
3.532E008,3.956E+3,
3.536E008,4.022E+3,
3.54E08,4.047E+3,
3.544E008,4.095E+3,
3.548E008,4.139E+3,
3.552E008,3.887E+3,
3.556E008,3.855E+3,
3.56E08,4.023E+3,
3.564E008,3.832E+3,
3.568E008,3.935E+3,
3.572E008,3.859E+3,
3.576E008,3.994E+3,
3.58E08,3.935E+3,
3.584E008,4.041E+3,
3.588E008,3.985E+3,
3.592E008,4.066E+3,
3.596E008,4.012E+3,
3.6E08,3.993E+3,
3.604E008,3.989E+3,
3.608E008,4.030E+3,
3.612E008,4.001E+3,
3.616E008,3.935E+3,
3.62E08,3.957E+3,
3.624E008,4.026E+3,
3.628E008,3.852E+3,
3.632E008,3.975E+3,
3.636E008,3.931E+3,
3.64E08,3.948E+3,
3.644E008,3.977E+3,
3.648E008,3.856E+3,
3.652E008,3.898E+3,
3.656E008,3.915E+3,
3.66E08,4.121E+3,
3.664E008,3.897E+3,
3.668E008,3.994E+3,
3.672E008,3.992E+3,
3.676E008,3.936E+3,
3.68E08,4.080E+3,
3.684E008,3.957E+3,
3.688E008,3.881E+3,
3.692E008,3.921E+3,
3.696E008,4.038E+3,
3.7E08,4.098E+3,
3.704E008,3.977E+3,
3.708E008,4.157E+3,
3.712E008,3.985E+3,
3.716E008,4.033E+3,
3.72E08,3.947E+3,
3.724E008,4.042E+3,
3.728E008,4.061E+3,
3.732E008,4.016E+3,
3.736E008,4.002E+3,
3.74E08,3.858E+3,
3.744E008,4.044E+3,
3.748E008,3.888E+3,
