Labels,T20_100ms_repeat2,
Type,Time Scan,
Comment,,
Start,0.00,
Stop,3.996E008,
Step,4E05,
Fixed/Offset, ,
XAxis,Time,
YAxis,Counts,

1.52E08,3.198E+4,
1.524E008,3.097E+4,
1.528E008,3.016E+4,
1.532E008,2.924E+4,
1.536E008,2.822E+4,
1.54E08,2.752E+4,
1.544E008,2.666E+4,
1.548E008,2.580E+4,
1.552E008,2.502E+4,
1.556E008,2.447E+4,
1.56E08,2.353E+4,
1.564E008,2.272E+4,
1.568E008,2.266E+4,
1.572E008,2.148E+4,
1.576E008,2.122E+4,
1.58E08,2.044E+4,
1.584E008,2.020E+4,
1.588E008,1.920E+4,
1.592E008,1.894E+4,
1.596E008,1.827E+4,
1.6E08,1.789E+4,
1.604E008,1.763E+4,
1.608E008,1.738E+4,
1.612E008,1.687E+4,
1.616E008,1.666E+4,
1.62E08,1.610E+4,
1.624E008,1.568E+4,
1.628E008,1.528E+4,
1.632E008,1.504E+4,
1.636E008,1.490E+4,
1.64E08,1.474E+4,
1.644E008,1.433E+4,
1.648E008,1.394E+4,
1.652E008,1.383E+4,
1.656E008,1.358E+4,
1.66E08,1.356E+4,
1.664E008,1.293E+4,
1.668E008,1.271E+4,
1.672E008,1.262E+4,
1.676E008,1.258E+4,
1.68E08,1.237E+4,
1.684E008,1.208E+4,
1.688E008,1.182E+4,
1.692E008,1.169E+4,
1.696E008,1.158E+4,
1.7E08,1.134E+4,
1.704E008,1.123E+4,
1.708E008,1.107E+4,
1.712E008,1.095E+4,
1.716E008,1.082E+4,
1.72E08,1.079E+4,
1.724E008,1.078E+4,
1.728E008,1.058E+4,
1.732E008,1.037E+4,
1.736E008,1.029E+4,
1.74E08,1.005E+4,
1.744E008,9.950E+3,
1.748E008,1.019E+4,
1.752E008,9.787E+3,
1.756E008,9.904E+3,
1.76E08,9.850E+3,
1.764E008,9.706E+3,
1.768E008,9.572E+3,
1.772E008,9.536E+3,
1.776E008,9.487E+3,
1.78E08,9.431E+3,
1.784E008,9.332E+3,
1.788E008,9.309E+3,
1.792E008,9.046E+3,
1.796E008,9.372E+3,
1.8E08,8.929E+3,
1.804E008,9.104E+3,
1.808E008,9.009E+3,
1.812E008,8.836E+3,
1.816E008,9.004E+3,
1.82E08,8.667E+3,
1.824E008,8.773E+3,
1.828E008,8.791E+3,
1.832E008,8.673E+3,
1.836E008,8.683E+3,
1.84E08,8.618E+3,
1.844E008,8.632E+3,
1.848E008,8.597E+3,
1.852E008,8.622E+3,
1.856E008,8.650E+3,
1.86E08,8.657E+3,
1.864E008,8.469E+3,
1.868E008,8.540E+3,
1.872E008,8.462E+3,
1.876E008,8.485E+3,
1.88E08,8.449E+3,
1.884E008,8.301E+3,
1.888E008,8.278E+3,
1.892E008,8.466E+3,
1.896E008,8.384E+3,
1.9E08,8.446E+3,
1.904E008,8.153E+3,
1.908E008,8.292E+3,
1.912E008,8.415E+3,
1.916E008,8.184E+3,
1.92E08,8.168E+3,
