100us pump

Labels,Decay52,Decay52F1,Decay52F1R,
Type,Time Scan,Exponential Fit Time Scan,Weighted Residuals Time Scan,
Comment,,,,
Start,0.00,2E05,2E05,
Stop,1.998E008,1.998E008,1.998E008,
Step,2E05,2E05,2E05,
Fixed/Offset, , , ,
XAxis,Time,Time,Time,
YAxis,Counts,Counts,Counts,

0.00,2.963E+3, , ,
2E05,5.522E+3,5.450E+3,9.677E-1,
4E05,5.396E+3,5.400E+3,-5.044E-2,
6E05,5.443E+3,5.350E+3,1.259E+0,
800000.060000,5.279E+3,5.301E+3,-3.073E-1,
1E06,5.278E+3,5.253E+3,3.398E-1,
1.2E06,5.142E+3,5.206E+3,-8.933E-1,
1.4E06,4.976E+3,5.160E+3,-2.602E+0,
1.6E06,5.098E+3,5.114E+3,-2.211E-1,
1.8E06,5.097E+3,5.069E+3,3.958E-1,
2E06,5.058E+3,5.024E+3,4.721E-1,
2.2E06,4.954E+3,4.981E+3,-3.808E-1,
2.4E06,4.913E+3,4.938E+3,-3.549E-1,
2.6E06,4.906E+3,4.896E+3,1.480E-1,
2.8E06,4.744E+3,4.854E+3,-1.598E+0,
3E06,4.781E+3,4.813E+3,-4.649E-1,
3.2E06,4.869E+3,4.773E+3,1.378E+0,
3.4E06,4.828E+3,4.733E+3,1.364E+0,
3.6E06,4.699E+3,4.694E+3,6.911E-2,
3.8E06,4.636E+3,4.656E+3,-2.921E-1,
4E06,4.695E+3,4.618E+3,1.122E+0,
4.2E06,4.546E+3,4.581E+3,-5.185E-1,
4.4E06,4.527E+3,4.544E+3,-2.584E-1,
4.6E06,4.456E+3,4.508E+3,-7.848E-1,
4.8E06,4.455E+3,4.473E+3,-2.692E-1,
5E06,4.450E+3,4.438E+3,1.783E-1,
5.2E06,4.398E+3,4.404E+3,-8.750E-2,
5.4E06,4.295E+3,4.370E+3,-1.145E+0,
5.6E06,4.431E+3,4.337E+3,1.415E+0,
5.8E06,4.241E+3,4.304E+3,-9.693E-1,
6E06,4.330E+3,4.272E+3,8.823E-1,
6.2E06,4.186E+3,4.240E+3,-8.389E-1,
6400000.500000,4.302E+3,4.209E+3,1.416E+0,
6600000.500000,4.089E+3,4.178E+3,-1.399E+0,
6800000.500000,4.182E+3,4.148E+3,5.216E-1,
7000000.500000,4.089E+3,4.119E+3,-4.624E-1,
7200000.600000,4.126E+3,4.089E+3,5.708E-1,
7400000.600000,4.016E+3,4.061E+3,-7.034E-1,
7600000.600000,3.994E+3,4.032E+3,-6.055E-1,
7800000.600000,3.957E+3,4.004E+3,-7.536E-1,
8000000.600000,4.165E+3,3.977E+3,2.913E+0,
8200000.600000,3.998E+3,3.950E+3,7.590E-1,
8400000.700000,3.828E+3,3.923E+3,-1.543E+0,
8600000.700000,3.942E+3,3.897E+3,7.115E-1,
8800000.700000,4.032E+3,3.872E+3,2.526E+0,
9000000.700000,3.809E+3,3.846E+3,-6.045E-1,
9200000.700000,3.793E+3,3.821E+3,-4.612E-1,
9400000.700000,3.764E+3,3.797E+3,-5.362E-1,
9600000.800000,3.878E+3,3.773E+3,1.690E+0,
9800000.800000,3.825E+3,3.749E+3,1.228E+0,
1E07,3.639E+3,3.726E+3,-1.437E+0,
1.02E07,3.738E+3,3.703E+3,5.774E-1,
1.04E07,3.739E+3,3.680E+3,9.637E-1,
1.06E07,3.601E+3,3.658E+3,-9.467E-1,
1.08E07,3.539E+3,3.636E+3,-1.629E+0,
1.1E07,3.635E+3,3.614E+3,3.427E-1,
1.12E07,3.633E+3,3.593E+3,6.617E-1,
1.14E07,3.465E+3,3.572E+3,-1.822E+0,
1.16E07,3.717E+3,3.552E+3,2.712E+0,
1.18E07,3.357E+3,3.531E+3,-3.011E+0,
1.2E07,3.480E+3,3.512E+3,-5.350E-1,
1.22E07,3.571E+3,3.492E+3,1.322E+0,
1.24E07,3.545E+3,3.473E+3,1.214E+0,
1.26E07,3.468E+3,3.454E+3,2.423E-1,
1.28E07,3.365E+3,3.435E+3,-1.208E+0,
1.3E07,3.393E+3,3.417E+3,-4.067E-1,
1.32E07,3.367E+3,3.399E+3,-5.448E-1,
1.34E07,3.332E+3,3.381E+3,-8.458E-1,
1.36E07,3.443E+3,3.363E+3,1.358E+0,
1.38E07,3.328E+3,3.346E+3,-3.134E-1,
1.4E07,3.340E+3,3.329E+3,1.882E-1,
1.42E07,3.410E+3,3.312E+3,1.671E+0,
1.44E07,3.214E+3,3.296E+3,-1.447E+0,
1.46E07,3.230E+3,3.280E+3,-8.771E-1,
1.48E07,3.214E+3,3.264E+3,-8.810E-1,
1.5E07,3.290E+3,3.248E+3,7.271E-1,
1.52E07,3.198E+3,3.233E+3,-6.169E-1,
1.54E07,3.118E+3,3.218E+3,-1.786E+0,
1.56E07,3.234E+3,3.203E+3,5.485E-1,
1.58E07,3.076E+3,3.188E+3,-2.022E+0,
1.6E07,3.184E+3,3.174E+3,1.829E-1,
1.62E07,3.193E+3,3.159E+3,5.935E-1,
1.64E07,3.143E+3,3.145E+3,-4.404E-2,
1.66E07,3.248E+3,3.132E+3,2.041E+0,
1.68E07,3.000E+3,3.118E+3,-2.157E+0,
1.7E07,3.191E+3,3.105E+3,1.526E+0,
1.72E07,3.116E+3,3.092E+3,4.356E-1,
1.74E07,3.053E+3,3.079E+3,-4.664E-1,
1.76E07,3.082E+3,3.066E+3,2.872E-1,
1.78E07,3.130E+3,3.054E+3,1.366E+0,
1.8E07,2.912E+3,3.041E+3,-2.395E+0,
1.82E07,3.033E+3,3.029E+3,7.037E-2,
1.84E07,2.952E+3,3.017E+3,-1.200E+0,
1.86E07,3.010E+3,3.005E+3,8.258E-2,
1.88E07,3.002E+3,2.994E+3,1.474E-1,
1.9E07,2.984E+3,2.983E+3,2.637E-2,
1.92E07,3.089E+3,2.971E+3,2.116E+0,
1.94E07,3.046E+3,2.960E+3,1.551E+0,
1.96E07,3.049E+3,2.950E+3,1.801E+0,
1.98E07,3.028E+3,2.939E+3,1.619E+0,
2E07,2.951E+3,2.928E+3,4.161E-1,
2.02E07,2.974E+3,2.918E+3,1.026E+0,
2.04E07,2.951E+3,2.908E+3,7.931E-1,
2.06E07,2.835E+3,2.898E+3,-1.182E+0,
2.08E07,2.954E+3,2.888E+3,1.213E+0,
2.1E07,2.943E+3,2.878E+3,1.191E+0,
2.12E07,2.899E+3,2.869E+3,5.596E-1,
2.14E07,2.847E+3,2.859E+3,-2.342E-1,
2.16E07,2.878E+3,2.850E+3,5.170E-1,
2.18E07,2.792E+3,2.841E+3,-9.309E-1,
2.2E07,2.814E+3,2.832E+3,-3.440E-1,
2.22E07,2.934E+3,2.823E+3,2.041E+0,
2.24E07,2.837E+3,2.815E+3,4.168E-1,
2.26E07,2.734E+3,2.806E+3,-1.382E+0,
2.28E07,2.874E+3,2.798E+3,1.420E+0,
2.3E07,2.770E+3,2.790E+3,-3.734E-1,
2.32E07,2.860E+3,2.782E+3,1.467E+0,
2.34E07,2.646E+3,2.774E+3,-2.479E+0,
2.36E07,2.754E+3,2.766E+3,-2.226E-1,
2.38E07,2.817E+3,2.758E+3,1.113E+0,
2.4E07,2.798E+3,2.750E+3,9.012E-1,
2.42E07,2.763E+3,2.743E+3,3.836E-1,
2.44E07,2.745E+3,2.735E+3,1.820E-1,
2.46E07,2.738E+3,2.728E+3,1.872E-1,
2.48E07,2.764E+3,2.721E+3,8.167E-1,
2.5E07,2.844E+3,2.714E+3,2.437E+0,
2.52E07,2.616E+3,2.707E+3,-1.782E+0,
2.54E07,2.689E+3,2.700E+3,-2.181E-1,
2.56E07,2.682E+3,2.694E+3,-2.242E-1,
2.58E07,2.753E+3,2.687E+3,1.257E+0,
2.6E07,2.774E+3,2.681E+3,1.775E+0,
2.62E07,2.680E+3,2.674E+3,1.130E-1,
2.64E07,2.680E+3,2.668E+3,2.344E-1,
2.66E07,2.621E+3,2.662E+3,-7.946E-1,
2.68E07,2.556E+3,2.656E+3,-1.970E+0,
2.7E07,2.698E+3,2.650E+3,9.316E-1,
2.72E07,2.669E+3,2.644E+3,4.894E-1,
2.74E07,2.547E+3,2.638E+3,-1.801E+0,
2.76E07,2.666E+3,2.632E+3,6.545E-1,
2.78E07,2.628E+3,2.627E+3,2.749E-2,
2.8E07,2.594E+3,2.621E+3,-5.314E-1,
2.82E07,2.599E+3,2.616E+3,-3.261E-1,
2.84E07,2.631E+3,2.610E+3,4.041E-1,
2.86E07,2.599E+3,2.605E+3,-1.177E-1,
2.88E07,2.497E+3,2.600E+3,-2.058E+0,
2.9E07,2.641E+3,2.595E+3,9.007E-1,
2.92E07,2.604E+3,2.590E+3,2.804E-1,
2.94E07,2.547E+3,2.585E+3,-7.480E-1,
2.96E07,2.542E+3,2.580E+3,-7.515E-1,
2.98E07,2.525E+3,2.575E+3,-9.971E-1,
3E07,2.505E+3,2.570E+3,-1.307E+0,
3.02E07,2.559E+3,2.566E+3,-1.336E-1,
3.04E07,2.509E+3,2.561E+3,-1.042E+0,
3.06E07,2.465E+3,2.557E+3,-1.847E+0,
3.08E07,2.450E+3,2.552E+3,-2.067E+0,
3.1E07,2.459E+3,2.548E+3,-1.794E+0,
3.12E07,2.582E+3,2.544E+3,7.544E-1,
3.14E07,2.687E+3,2.539E+3,2.846E+0,
3.16E07,2.496E+3,2.535E+3,-7.869E-1,
3.18E07,2.536E+3,2.531E+3,9.463E-2,
3.2E07,2.479E+3,2.527E+3,-9.685E-1,
3.22E07,2.497E+3,2.523E+3,-5.258E-1,
3.24E07,2.519E+3,2.519E+3,-7.695E-3,
3.26E07,2.515E+3,2.516E+3,-1.120E-2,
3.28E07,2.505E+3,2.512E+3,-1.358E-1,
3.3E07,2.441E+3,2.508E+3,-1.358E+0,
3.32E07,2.546E+3,2.504E+3,8.235E-1,
3.34E07,2.527E+3,2.501E+3,5.200E-1,
3.36E07,2.581E+3,2.497E+3,1.647E+0,
3.38E07,2.490E+3,2.494E+3,-7.729E-2,
3.4E07,2.491E+3,2.490E+3,1.127E-2,
3.42E07,2.571E+3,2.487E+3,1.655E+0,
3.44E07,2.519E+3,2.484E+3,7.021E-1,
3.46E07,2.434E+3,2.481E+3,-9.426E-1,
3.48E07,2.454E+3,2.477E+3,-4.703E-1,
3.5E07,2.525E+3,2.474E+3,1.012E+0,
3.52E07,2.347E+3,2.471E+3,-2.560E+0,
3.54E07,2.427E+3,2.468E+3,-8.318E-1,
3.56E07,2.481E+3,2.465E+3,3.218E-1,
3.58E07,2.400E+3,2.462E+3,-1.266E+0,
3.6E07,2.427E+3,2.459E+3,-6.515E-1,
3.62E07,2.473E+3,2.456E+3,3.372E-1,
3.64E07,2.433E+3,2.453E+3,-4.138E-1,
3.66E07,2.440E+3,2.451E+3,-2.152E-1,
3.68E07,2.511E+3,2.448E+3,1.259E+0,
3.7E07,2.514E+3,2.445E+3,1.372E+0,
3.72E07,2.355E+3,2.443E+3,-1.804E+0,
3.74E07,2.423E+3,2.440E+3,-3.446E-1,
3.76E07,2.535E+3,2.437E+3,1.939E+0,
3.78E07,2.289E+3,2.435E+3,-3.049E+0,
3.8E07,2.359E+3,2.432E+3,-1.511E+0,
3.82E07,2.476E+3,2.430E+3,9.254E-1,
3.84E07,2.460E+3,2.428E+3,6.543E-1,
3.86E07,2.394E+3,2.425E+3,-6.373E-1,
3.88E07,2.463E+3,2.423E+3,8.089E-1,
3.9E07,2.431E+3,2.421E+3,2.117E-1,
3.92E07,2.424E+3,2.418E+3,1.156E-1,
3.94E07,2.361E+3,2.416E+3,-1.134E+0,
3.96E07,2.422E+3,2.414E+3,1.645E-1,
3.98E07,2.459E+3,2.412E+3,9.527E-1,
4E07,2.388E+3,2.410E+3,-4.429E-1,
4.02E07,2.414E+3,2.408E+3,1.311E-1,
4.04E07,2.448E+3,2.406E+3,8.587E-1,
4.06E07,2.416E+3,2.403E+3,2.544E-1,
4.08E07,2.387E+3,2.402E+3,-2.971E-1,
4.1E07,2.379E+3,2.400E+3,-4.216E-1,
4.12E07,2.427E+3,2.398E+3,5.960E-1,
4.14E07,2.451E+3,2.396E+3,1.116E+0,
4.16E07,2.371E+3,2.394E+3,-4.701E-1,
4.18E07,2.403E+3,2.392E+3,2.232E-1,
4.2E07,2.339E+3,2.390E+3,-1.060E+0,
4.22E07,2.357E+3,2.388E+3,-6.485E-1,
4.24E07,2.284E+3,2.387E+3,-2.150E+0,
4.26E07,2.361E+3,2.385E+3,-4.944E-1,
4.28E07,2.447E+3,2.383E+3,1.287E+0,
4.3E07,2.436E+3,2.382E+3,1.101E+0,
4.32E07,2.360E+3,2.380E+3,-4.123E-1,
4.34E07,2.476E+3,2.378E+3,1.961E+0,
4.36E07,2.408E+3,2.377E+3,6.351E-1,
4.38E07,2.220E+3,2.375E+3,-3.296E+0,
4.4E07,2.296E+3,2.374E+3,-1.622E+0,
4.42E07,2.323E+3,2.372E+3,-1.021E+0,
4.44E07,2.426E+3,2.371E+3,1.122E+0,
4.46E07,2.250E+3,2.369E+3,-2.515E+0,
4.48E07,2.383E+3,2.368E+3,3.106E-1,
4.5E07,2.346E+3,2.366E+3,-4.216E-1,
4.52E07,2.399E+3,2.365E+3,6.936E-1,
4.54E07,2.380E+3,2.364E+3,3.350E-1,
4.56E07,2.376E+3,2.362E+3,2.810E-1,
4.58E07,2.363E+3,2.361E+3,4.166E-2,
4.6E07,2.414E+3,2.360E+3,1.106E+0,
4.62E07,2.425E+3,2.358E+3,1.353E+0,
4.64E07,2.409E+3,2.357E+3,1.057E+0,
4.66E07,2.289E+3,2.356E+3,-1.398E+0,
4.68E07,2.396E+3,2.355E+3,8.450E-1,
4.7E07,2.392E+3,2.353E+3,7.886E-1,
4.72E07,2.401E+3,2.352E+3,9.950E-1,
4.74E07,2.399E+3,2.351E+3,9.785E-1,
4.76E07,2.393E+3,2.350E+3,8.806E-1,
4.78E07,2.326E+3,2.349E+3,-4.726E-1,
4.8E07,2.394E+3,2.348E+3,9.468E-1,
4.82E07,2.344E+3,2.347E+3,-5.328E-2,
4.84E07,2.338E+3,2.346E+3,-1.551E-1,
4.86E07,2.409E+3,2.344E+3,1.315E+0,
4.88E07,2.335E+3,2.343E+3,-1.737E-1,
4.9E07,2.442E+3,2.342E+3,2.016E+0,
4.92E07,2.371E+3,2.341E+3,6.089E-1,
4.94E07,2.467E+3,2.340E+3,2.550E+0,
4.96E07,2.388E+3,2.339E+3,9.950E-1,
4.98E07,2.331E+3,2.338E+3,-1.535E-1,
5E07,2.298E+3,2.337E+3,-8.232E-1,
5.02E07,2.312E+3,2.337E+3,-5.101E-1,
5.04E07,2.202E+3,2.336E+3,-2.847E+0,
5.06E07,2.324E+3,2.335E+3,-2.220E-1,
5.08E07,2.329E+3,2.334E+3,-9.968E-2,
5.1E07,2.334E+3,2.333E+3,2.207E-2,
5.12E07,2.302E+3,2.332E+3,-6.268E-1,
5.14E07,2.270E+3,2.331E+3,-1.285E+0,
5.16E07,2.285E+3,2.330E+3,-9.495E-1,
5.18E07,2.364E+3,2.330E+3,7.082E-1,
5.2E07,2.310E+3,2.329E+3,-3.902E-1,
5.22E07,2.309E+3,2.328E+3,-3.946E-1,
5.24E07,2.263E+3,2.327E+3,-1.349E+0,
5.26E07,2.262E+3,2.326E+3,-1.354E+0,
5.28E07,2.329E+3,2.326E+3,6.950E-2,
5.3E07,2.294E+3,2.325E+3,-6.451E-1,
5.32E07,2.288E+3,2.324E+3,-7.561E-1,
5.34E07,2.235E+3,2.323E+3,-1.871E+0,
5.36E07,2.333E+3,2.323E+3,2.126E-1,
5.38E07,2.235E+3,2.322E+3,-1.841E+0,
5.4E07,2.316E+3,2.321E+3,-1.109E-1,
5.42E07,2.291E+3,2.321E+3,-6.197E-1,
5.44E07,2.322E+3,2.320E+3,4.164E-2,
5.46E07,2.296E+3,2.319E+3,-4.870E-1,
5.48E07,2.286E+3,2.319E+3,-6.837E-1,
5.5E07,2.340E+3,2.318E+3,4.537E-1,
5.52E07,2.328E+3,2.317E+3,2.191E-1,
5.54E07,2.420E+3,2.317E+3,2.098E+0,
5.56E07,2.317E+3,2.316E+3,1.652E-2,
5.58E07,2.291E+3,2.316E+3,-5.141E-1,
5.6E07,2.245E+3,2.315E+3,-1.478E+0,
5.62E07,2.292E+3,2.314E+3,-4.688E-1,
5.64E07,2.332E+3,2.314E+3,3.754E-1,
5.66E07,2.365E+3,2.313E+3,1.063E+0,
5.68E07,2.332E+3,2.313E+3,3.984E-1,
5.7E07,2.275E+3,2.312E+3,-7.804E-1,
5.72E07,2.214E+3,2.312E+3,-2.076E+0,
5.74E07,2.206E+3,2.311E+3,-2.239E+0,
5.76E07,2.226E+3,2.311E+3,-1.794E+0,
5.78E07,2.266E+3,2.310E+3,-9.272E-1,
5.8E07,2.351E+3,2.310E+3,8.531E-1,
5.82E07,2.295E+3,2.309E+3,-2.952E-1,
5.84E07,2.340E+3,2.309E+3,6.479E-1,
5.86E07,2.394E+3,2.308E+3,1.754E+0,
5.88E07,2.351E+3,2.308E+3,8.928E-1,
5.9E07,2.393E+3,2.307E+3,1.753E+0,
5.92E07,2.247E+3,2.307E+3,-1.261E+0,
5.94E07,2.342E+3,2.306E+3,7.367E-1,
5.96E07,2.317E+3,2.306E+3,2.304E-1,
5.98E07,2.332E+3,2.305E+3,5.493E-1,
6E07,2.370E+3,2.305E+3,1.334E+0,
6.02E07,2.420E+3,2.305E+3,2.345E+0,
6.04E07,2.358E+3,2.304E+3,1.108E+0,
6.06E07,2.412E+3,2.304E+3,2.203E+0,
6.08E07,2.233E+3,2.303E+3,-1.490E+0,
6.1E07,2.297E+3,2.303E+3,-1.255E-1,
6.12E07,2.388E+3,2.303E+3,1.747E+0,
6.14E07,2.327E+3,2.302E+3,5.131E-1,
6.16E07,2.288E+3,2.302E+3,-2.900E-1,
6.18E07,2.310E+3,2.302E+3,1.768E-1,
6.2E07,2.280E+3,2.301E+3,-4.427E-1,
6.22E07,2.222E+3,2.301E+3,-1.671E+0,
6.24E07,2.350E+3,2.300E+3,1.023E+0,
6.26E07,2.355E+3,2.300E+3,1.132E+0,
6.28E07,2.201E+3,2.300E+3,-2.105E+0,
6.3E07,2.336E+3,2.299E+3,7.571E-1,
6.32E07,2.310E+3,2.299E+3,2.272E-1,
6.34E07,2.317E+3,2.299E+3,3.791E-1,
6.36E07,2.328E+3,2.298E+3,6.128E-1,
6.38E07,2.333E+3,2.298E+3,7.221E-1,
64000005.000000,2.339E+3,2.298E+3,8.517E-1,
64200005.000000,2.259E+3,2.298E+3,-8.102E-1,
64400005.000000,2.260E+3,2.297E+3,-7.826E-1,
64600005.000000,2.247E+3,2.297E+3,-1.053E+0,
64800005.000000,2.415E+3,2.297E+3,2.409E+0,
65000005.000000,2.287E+3,2.296E+3,-1.952E-1,
65200005.000000,2.382E+3,2.296E+3,1.761E+0,
65400005.000000,2.393E+3,2.296E+3,1.987E+0,
65600005.000000,2.330E+3,2.296E+3,7.146E-1,
65800005.000000,2.306E+3,2.295E+3,2.241E-1,
66000005.000000,2.317E+3,2.295E+3,4.576E-1,
66200005.000000,2.202E+3,2.295E+3,-1.976E+0,
66400005.000000,2.297E+3,2.294E+3,5.304E-2,
66600005.000000,2.314E+3,2.294E+3,4.115E-1,
66800005.000000,2.387E+3,2.294E+3,1.904E+0,
67000005.000000,2.233E+3,2.294E+3,-1.285E+0,
67200005.000000,2.299E+3,2.293E+3,1.152E-1,
67400005.000000,2.361E+3,2.293E+3,1.395E+0,
67600005.000000,2.253E+3,2.293E+3,-8.429E-1,
67800005.000000,2.299E+3,2.293E+3,1.297E-1,
