Labels,amplitude_3,
Type,Time Scan,
Comment,,
Start,0.00,
Stop,3.996E008,
Step,4E05,
Fixed/Offset, ,
XAxis,Time,
YAxis,Counts,

1.3E08,2.486E+5,
1.304E008,2.375E+5,
1.308E008,2.278E+5,
1.312E008,2.199E+5,
1.316E008,2.106E+5,
1.32E08,2.021E+5,
1.324E008,1.942E+5,
1.328E008,1.861E+5,
1.332E008,1.787E+5,
1.336E008,1.718E+5,
1.34E08,1.645E+5,
1.344E008,1.580E+5,
1.348E008,1.516E+5,
1.352E008,1.454E+5,
1.356E008,1.397E+5,
1.36E08,1.350E+5,
1.364E008,1.287E+5,
1.368E008,1.241E+5,
1.372E008,1.193E+5,
1.376E008,1.136E+5,
1.38E08,1.098E+5,
1.384E008,1.049E+5,
1.388E008,1.011E+5,
1.392E008,9.699E+4,
1.396E008,9.339E+4,
1.4E08,8.908E+4,
1.404E008,8.633E+4,
1.408E008,8.263E+4,
1.412E008,7.964E+4,
1.416E008,7.638E+4,
1.42E08,7.348E+4,
1.424E008,7.017E+4,
1.428E008,6.780E+4,
1.432E008,6.524E+4,
1.436E008,6.289E+4,
1.44E08,6.006E+4,
1.444E008,5.850E+4,
1.448E008,5.612E+4,
1.452E008,5.383E+4,
1.456E008,5.194E+4,
1.46E08,4.998E+4,
1.464E008,4.841E+4,
1.468E008,4.658E+4,
1.472E008,4.450E+4,
1.476E008,4.320E+4,
1.48E08,4.142E+4,
1.484E008,4.025E+4,
1.488E008,3.878E+4,
1.492E008,3.746E+4,
1.496E008,3.623E+4,
1.5E08,3.489E+4,
1.504E008,3.373E+4,
1.508E008,3.271E+4,
1.512E008,3.171E+4,
1.516E008,3.069E+4,
1.52E08,2.958E+4,
1.524E008,2.861E+4,
1.528E008,2.757E+4,
1.532E008,2.680E+4,
1.536E008,2.626E+4,
1.54E08,2.498E+4,
1.544E008,2.442E+4,
1.548E008,2.349E+4,
1.552E008,2.247E+4,
1.556E008,2.216E+4,
1.56E08,2.191E+4,
1.564E008,2.134E+4,
1.568E008,2.025E+4,
1.572E008,2.000E+4,
1.576E008,1.922E+4,
1.58E08,1.917E+4,
1.584E008,1.838E+4,
1.588E008,1.780E+4,
1.592E008,1.753E+4,
1.596E008,1.701E+4,
1.6E08,1.663E+4,
1.604E008,1.622E+4,
1.608E008,1.565E+4,
1.612E008,1.537E+4,
1.616E008,1.546E+4,
1.62E08,1.481E+4,
1.624E008,1.436E+4,
1.628E008,1.396E+4,
1.632E008,1.395E+4,
1.636E008,1.341E+4,
1.64E08,1.324E+4,
1.644E008,1.291E+4,
1.648E008,1.282E+4,
1.652E008,1.271E+4,
1.656E008,1.248E+4,
1.66E08,1.194E+4,
1.664E008,1.187E+4,
1.668E008,1.186E+4,
1.672E008,1.158E+4,
1.676E008,1.112E+4,
1.68E08,1.121E+4,
1.684E008,1.110E+4,
1.688E008,1.097E+4,
1.692E008,1.057E+4,
1.696E008,1.046E+4,
1.7E08,1.042E+4,
1.704E008,1.034E+4,
1.708E008,1.040E+4,
1.712E008,1.001E+4,
1.716E008,9.873E+3,
1.72E08,9.747E+3,
1.724E008,9.997E+3,
1.728E008,9.544E+3,
1.732E008,9.477E+3,
1.736E008,9.469E+3,
1.74E08,9.312E+3,
1.744E008,9.043E+3,
1.748E008,9.047E+3,
1.752E008,9.020E+3,
1.756E008,9.073E+3,
1.76E08,9.111E+3,
1.764E008,8.819E+3,
1.768E008,8.793E+3,
1.772E008,8.568E+3,
1.776E008,8.638E+3,
1.78E08,8.743E+3,
1.784E008,8.654E+3,
1.788E008,8.310E+3,
1.792E008,8.556E+3,
1.796E008,8.325E+3,
1.8E08,8.328E+3,
1.804E008,8.296E+3,
1.808E008,8.269E+3,
1.812E008,8.314E+3,
1.816E008,8.215E+3,
1.82E08,8.325E+3,
1.824E008,7.953E+3,
1.828E008,8.027E+3,
1.832E008,8.131E+3,
1.836E008,8.018E+3,
1.84E08,8.222E+3,
1.844E008,7.753E+3,
1.848E008,7.774E+3,
1.852E008,7.966E+3,
1.856E008,7.895E+3,
1.86E08,8.049E+3,
1.864E008,7.829E+3,
1.868E008,7.867E+3,
1.872E008,7.766E+3,
1.876E008,7.812E+3,
1.88E08,7.666E+3,
1.884E008,7.644E+3,
1.888E008,7.779E+3,
1.892E008,7.782E+3,
1.896E008,7.645E+3,
1.9E08,7.817E+3,
1.904E008,7.682E+3,
1.908E008,7.656E+3,
1.912E008,7.499E+3,
1.916E008,7.543E+3,
1.92E08,7.555E+3,
1.924E008,7.598E+3,
1.928E008,7.436E+3,
1.932E008,7.623E+3,
1.936E008,7.675E+3,
1.94E08,7.520E+3,
1.944E008,7.652E+3,
1.948E008,7.424E+3,
1.952E008,7.674E+3,
1.956E008,7.334E+3,
1.96E08,7.383E+3,
1.964E008,7.380E+3,
1.968E008,7.594E+3,
1.972E008,7.390E+3,
1.976E008,7.420E+3,
1.98E08,7.450E+3,
1.984E008,7.488E+3,
1.988E008,7.431E+3,
1.992E008,7.372E+3,
1.996E008,7.388E+3,
2E08,7.393E+3,
2.004E008,7.475E+3,
2.008E008,7.332E+3,
2.012E008,7.319E+3,
2.016E008,7.409E+3,
2.02E08,7.334E+3,
2.024E008,7.419E+3,
2.028E008,7.463E+3,
2.032E008,7.304E+3,
2.036E008,7.469E+3,
2.04E08,7.356E+3,
2.044E008,7.380E+3,
2.048E008,7.249E+3,
2.052E008,7.317E+3,
2.056E008,7.413E+3,
2.06E08,7.338E+3,
2.064E008,7.131E+3,
2.068E008,7.404E+3,
2.072E008,7.154E+3,
2.076E008,7.089E+3,
2.08E08,7.247E+3,
2.084E008,7.159E+3,
2.088E008,7.336E+3,
2.092E008,7.405E+3,
2.096E008,7.168E+3,
2.1E08,7.249E+3,
2.104E008,7.156E+3,
2.108E008,7.449E+3,
2.112E008,7.315E+3,
2.116E008,7.327E+3,
2.12E08,7.377E+3,
2.124E008,7.235E+3,
2.128E008,7.290E+3,
2.132E008,7.109E+3,
2.136E008,7.144E+3,
2.14E08,7.362E+3,
2.144E008,7.198E+3,
2.148E008,7.250E+3,
2.152E008,7.383E+3,
2.156E008,7.311E+3,
2.16E08,7.361E+3,
2.164E008,7.190E+3,
2.168E008,7.291E+3,
2.172E008,7.156E+3,
2.176E008,7.307E+3,
2.18E08,7.341E+3,
2.184E008,7.203E+3,
2.188E008,7.156E+3,
2.192E008,7.364E+3,
2.196E008,7.269E+3,
2.2E08,7.178E+3,
2.204E008,7.155E+3,
2.208E008,7.190E+3,
2.212E008,7.115E+3,
2.216E008,7.287E+3,
2.22E08,7.331E+3,
2.224E008,7.170E+3,
2.228E008,7.257E+3,
2.232E008,7.234E+3,
2.236E008,7.009E+3,
2.24E08,7.323E+3,
2.244E008,7.249E+3,
2.248E008,7.329E+3,
2.252E008,7.208E+3,
2.256E008,7.234E+3,
2.26E08,7.339E+3,
2.264E008,7.181E+3,
2.268E008,7.219E+3,
2.272E008,7.247E+3,
2.276E008,7.271E+3,
2.28E08,7.243E+3,
2.284E008,7.250E+3,
2.288E008,7.129E+3,
2.292E008,7.249E+3,
2.296E008,7.153E+3,
2.3E08,7.213E+3,
2.304E008,7.356E+3,
2.308E008,7.281E+3,
2.312E008,6.978E+3,
2.316E008,7.310E+3,
2.32E08,7.192E+3,
2.324E008,7.131E+3,
2.328E008,7.009E+3,
2.332E008,6.946E+3,
2.336E008,7.164E+3,
2.34E08,7.097E+3,
2.344E008,7.234E+3,
2.348E008,7.297E+3,
2.352E008,7.294E+3,
2.356E008,7.325E+3,
2.36E08,7.133E+3,
2.364E008,7.252E+3,
2.368E008,7.085E+3,
2.372E008,7.178E+3,
2.376E008,7.397E+3,
2.38E08,7.167E+3,
2.384E008,7.096E+3,
2.388E008,7.142E+3,
2.392E008,7.154E+3,
2.396E008,7.276E+3,
2.4E08,7.354E+3,
2.404E008,7.329E+3,
2.408E008,7.082E+3,
2.412E008,7.208E+3,
2.416E008,7.134E+3,
2.42E08,7.273E+3,
2.424E008,7.013E+3,
2.428E008,7.247E+3,
2.432E008,7.295E+3,
2.436E008,7.204E+3,
2.44E08,7.376E+3,
2.444E008,7.201E+3,
2.448E008,7.293E+3,
2.452E008,7.273E+3,
2.456E008,7.322E+3,
2.46E08,7.167E+3,
2.464E008,7.302E+3,
2.468E008,7.342E+3,
2.472E008,7.253E+3,
2.476E008,7.298E+3,
2.48E08,7.101E+3,
2.484E008,7.282E+3,
2.488E008,7.309E+3,
2.492E008,7.181E+3,
2.496E008,7.320E+3,
2.5E08,6.925E+3,
2.504E008,7.233E+3,
2.508E008,7.261E+3,
2.512E008,7.197E+3,
2.516E008,7.259E+3,
2.52E08,7.226E+3,
2.524E008,7.235E+3,
2.528E008,7.297E+3,
2.532E008,7.028E+3,
2.536E008,7.250E+3,
2.54E08,7.162E+3,
2.544E008,7.280E+3,
2.548E008,7.112E+3,
2.552E008,7.189E+3,
2.556E008,7.294E+3,
2.56E08,7.084E+3,
2.564E008,7.195E+3,
2.568E008,7.284E+3,
2.572E008,7.070E+3,
2.576E008,7.137E+3,
2.58E08,7.020E+3,
2.584E008,7.233E+3,
2.588E008,7.288E+3,
2.592E008,7.339E+3,
2.596E008,7.309E+3,
2.6E08,6.968E+3,
2.604E008,7.178E+3,
2.608E008,7.188E+3,
2.612E008,7.206E+3,
2.616E008,7.151E+3,
2.62E08,7.155E+3,
2.624E008,7.073E+3,
2.628E008,7.179E+3,
2.632E008,7.200E+3,
2.636E008,7.288E+3,
2.64E08,7.212E+3,
2.644E008,7.147E+3,
2.648E008,7.154E+3,
2.652E008,7.193E+3,
2.656E008,7.205E+3,
2.66E08,7.292E+3,
2.664E008,7.075E+3,
2.668E008,7.124E+3,
2.672E008,7.027E+3,
2.676E008,7.166E+3,
2.68E08,6.994E+3,
2.684E008,7.170E+3,
2.688E008,7.242E+3,
2.692E008,6.978E+3,
2.696E008,7.053E+3,
2.7E08,7.272E+3,
2.704E008,7.083E+3,
2.708E008,7.107E+3,
2.712E008,7.077E+3,
2.716E008,7.272E+3,
2.72E08,7.206E+3,
2.724E008,7.146E+3,
2.728E008,7.209E+3,
2.732E008,7.150E+3,
2.736E008,7.046E+3,
2.74E08,7.181E+3,
2.744E008,7.192E+3,
2.748E008,7.324E+3,
2.752E008,7.050E+3,
2.756E008,7.248E+3,
2.76E08,7.204E+3,
2.764E008,7.133E+3,
2.768E008,7.254E+3,
2.772E008,7.294E+3,
2.776E008,7.170E+3,
2.78E08,7.179E+3,
2.784E008,7.155E+3,
2.788E008,7.309E+3,
2.792E008,7.174E+3,
2.796E008,7.190E+3,
2.8E08,7.046E+3,
2.804E008,7.230E+3,
2.808E008,7.079E+3,
2.812E008,7.017E+3,
2.816E008,7.163E+3,
2.82E08,7.166E+3,
2.824E008,7.225E+3,
2.828E008,7.220E+3,
2.832E008,6.985E+3,
2.836E008,7.256E+3,
2.84E08,7.256E+3,
2.844E008,7.038E+3,
2.848E008,7.023E+3,
2.852E008,7.265E+3,
2.856E008,7.211E+3,
2.86E08,7.353E+3,
2.864E008,7.189E+3,
2.868E008,7.096E+3,
2.872E008,7.215E+3,
2.876E008,7.052E+3,
2.88E08,7.316E+3,
2.884E008,7.118E+3,
2.888E008,7.238E+3,
2.892E008,7.194E+3,
2.896E008,7.264E+3,
2.9E08,7.242E+3,
2.904E008,7.017E+3,
2.908E008,7.227E+3,
2.912E008,7.084E+3,
2.916E008,7.177E+3,
2.92E08,6.981E+3,
2.924E008,7.095E+3,
2.928E008,7.082E+3,
2.932E008,7.286E+3,
2.936E008,7.038E+3,
2.94E08,7.039E+3,
2.944E008,7.012E+3,
2.948E008,7.090E+3,
2.952E008,7.239E+3,
2.956E008,7.210E+3,
2.96E08,7.134E+3,
2.964E008,7.040E+3,
2.968E008,7.225E+3,
2.972E008,7.171E+3,
2.976E008,6.863E+3,
2.98E08,7.169E+3,
2.984E008,7.237E+3,
2.988E008,7.228E+3,
2.992E008,7.137E+3,
2.996E008,7.138E+3,
3E08,7.095E+3,
3.004E008,7.195E+3,
3.008E008,7.146E+3,
3.012E008,7.205E+3,
3.016E008,7.179E+3,
3.02E08,7.082E+3,
3.024E008,7.031E+3,
3.028E008,7.126E+3,
3.032E008,7.143E+3,
3.036E008,7.139E+3,
3.04E08,7.163E+3,
3.044E008,7.041E+3,
3.048E008,7.225E+3,
3.052E008,7.190E+3,
3.056E008,7.157E+3,
3.06E08,7.158E+3,
3.064E008,7.198E+3,
3.068E008,7.074E+3,
3.072E008,7.101E+3,
3.076E008,7.175E+3,
3.08E08,7.198E+3,
3.084E008,7.065E+3,
3.088E008,7.242E+3,
3.092E008,7.180E+3,
3.096E008,7.231E+3,
3.1E08,7.118E+3,
3.104E008,7.099E+3,
3.108E008,7.113E+3,
3.112E008,7.215E+3,
3.116E008,7.191E+3,
3.12E08,7.160E+3,
3.124E008,6.949E+3,
3.128E008,7.051E+3,
3.132E008,7.096E+3,
3.136E008,7.224E+3,
3.14E08,7.051E+3,
3.144E008,7.240E+3,
3.148E008,7.134E+3,
3.152E008,7.172E+3,
3.156E008,7.231E+3,
3.16E08,7.067E+3,
3.164E008,7.134E+3,
3.168E008,7.117E+3,
3.172E008,7.147E+3,
3.176E008,7.328E+3,
3.18E08,7.094E+3,
3.184E008,7.136E+3,
3.188E008,7.379E+3,
3.192E008,7.114E+3,
3.196E008,7.233E+3,
3.2E08,7.187E+3,
3.204E008,7.018E+3,
3.208E008,7.035E+3,
3.212E008,7.128E+3,
3.216E008,6.966E+3,
3.22E08,7.060E+3,
3.224E008,7.031E+3,
3.228E008,7.102E+3,
3.232E008,7.193E+3,
3.236E008,7.187E+3,
3.24E08,7.140E+3,
3.244E008,7.184E+3,
3.248E008,7.292E+3,
3.252E008,7.177E+3,
3.256E008,7.159E+3,
3.26E08,7.160E+3,
3.264E008,7.107E+3,
3.268E008,7.197E+3,
3.272E008,7.032E+3,
3.276E008,7.195E+3,
3.28E08,7.044E+3,
3.284E008,7.140E+3,
3.288E008,7.178E+3,
3.292E008,7.256E+3,
3.296E008,7.127E+3,
3.3E08,7.072E+3,
3.304E008,6.965E+3,
3.308E008,7.191E+3,
3.312E008,6.986E+3,
3.316E008,7.322E+3,
3.32E08,7.164E+3,
3.324E008,6.995E+3,
3.328E008,7.115E+3,
3.332E008,7.054E+3,
3.336E008,7.047E+3,
3.34E08,7.124E+3,
3.344E008,7.242E+3,
3.348E008,7.138E+3,
3.352E008,7.255E+3,
3.356E008,7.071E+3,
3.36E08,7.279E+3,
3.364E008,7.183E+3,
3.368E008,7.128E+3,
3.372E008,7.285E+3,
3.376E008,7.255E+3,
3.38E08,7.229E+3,
3.384E008,7.035E+3,
3.388E008,7.207E+3,
3.392E008,7.089E+3,
3.396E008,7.183E+3,
3.4E08,7.057E+3,
3.404E008,7.104E+3,
3.408E008,7.000E+3,
3.412E008,7.087E+3,
3.416E008,7.253E+3,
3.42E08,7.247E+3,
3.424E008,7.251E+3,
3.428E008,6.993E+3,
3.432E008,7.116E+3,
3.436E008,7.034E+3,
3.44E08,7.060E+3,
3.444E008,7.116E+3,
3.448E008,7.099E+3,
3.452E008,7.000E+3,
3.456E008,7.137E+3,
3.46E08,7.141E+3,
3.464E008,7.024E+3,
3.468E008,7.057E+3,
3.472E008,7.173E+3,
3.476E008,6.983E+3,
3.48E08,7.038E+3,
3.484E008,6.938E+3,
3.488E008,7.185E+3,
3.492E008,7.040E+3,
3.496E008,7.077E+3,
3.5E08,7.275E+3,
3.504E008,7.269E+3,
3.508E008,6.972E+3,
3.512E008,7.170E+3,
3.516E008,7.014E+3,
3.52E08,7.151E+3,
3.524E008,7.108E+3,
3.528E008,6.994E+3,
3.532E008,7.150E+3,
3.536E008,7.177E+3,
3.54E08,7.075E+3,
3.544E008,7.205E+3,
3.548E008,6.996E+3,
3.552E008,7.261E+3,
3.556E008,7.183E+3,
3.56E08,7.163E+3,
3.564E008,7.200E+3,
3.568E008,7.129E+3,
3.572E008,7.157E+3,
3.576E008,7.190E+3,
3.58E08,7.130E+3,
3.584E008,7.138E+3,
3.588E008,7.237E+3,
3.592E008,7.099E+3,
3.596E008,7.059E+3,
3.6E08,7.029E+3,
3.604E008,7.168E+3,
3.608E008,7.085E+3,
3.612E008,7.011E+3,
3.616E008,7.078E+3,
3.62E08,7.119E+3,
3.624E008,7.114E+3,
3.628E008,7.251E+3,
3.632E008,7.178E+3,
3.636E008,7.029E+3,
3.64E08,7.074E+3,
3.644E008,7.110E+3,
3.648E008,7.081E+3,
3.652E008,7.057E+3,
3.656E008,7.267E+3,
3.66E08,7.123E+3,
3.664E008,7.226E+3,
3.668E008,7.102E+3,
3.672E008,7.154E+3,
3.676E008,7.306E+3,
3.68E08,7.088E+3,
3.684E008,7.194E+3,
3.688E008,6.979E+3,
3.692E008,7.076E+3,
3.696E008,7.106E+3,
3.7E08,7.145E+3,
3.704E008,7.120E+3,
3.708E008,7.207E+3,
3.712E008,7.209E+3,
3.716E008,7.207E+3,
3.72E08,7.156E+3,
3.724E008,7.156E+3,
3.728E008,7.089E+3,
3.732E008,7.304E+3,
3.736E008,7.291E+3,
3.74E08,7.162E+3,
3.744E008,7.075E+3,
3.748E008,7.213E+3,
3.752E008,7.066E+3,
3.756E008,6.990E+3,
3.76E08,7.045E+3,
3.764E008,7.172E+3,
3.768E008,7.141E+3,
3.772E008,7.178E+3,
3.776E008,7.200E+3,
3.78E08,6.954E+3,
3.784E008,7.056E+3,
3.788E008,7.016E+3,
3.792E008,6.979E+3,
3.796E008,7.140E+3,
3.8E08,7.180E+3,
3.804E008,6.956E+3,
3.808E008,7.148E+3,
3.812E008,7.305E+3,
3.816E008,7.083E+3,
3.82E08,7.230E+3,
3.824E008,6.957E+3,
3.828E008,7.095E+3,
3.832E008,7.012E+3,
3.836E008,7.124E+3,
3.84E08,6.997E+3,
3.844E008,7.007E+3,
3.848E008,7.119E+3,
3.852E008,7.216E+3,
3.856E008,7.139E+3,
3.86E08,7.180E+3,
3.864E008,7.215E+3,
3.868E008,7.086E+3,
3.872E008,7.112E+3,
3.876E008,6.966E+3,
3.88E08,7.198E+3,
3.884E008,7.160E+3,
3.888E008,6.971E+3,
3.892E008,7.005E+3,
3.896E008,7.137E+3,
3.9E08,7.049E+3,
3.904E008,7.059E+3,
3.908E008,7.212E+3,
3.912E008,7.051E+3,
3.916E008,7.035E+3,
3.92E08,7.016E+3,
3.924E008,7.070E+3,
