Labels,amplitude_6p5_10sweeps,
Type,Time Scan,
Comment,,
Start,0.00,
Stop,3.996E008,
Step,4E05,
Fixed/Offset, ,
XAxis,Time,
YAxis,Counts,

2.156E008,6.560E+2,
2.16E08,7.010E+2,
2.164E008,6.690E+2,
2.168E008,7.130E+2,
2.172E008,6.810E+2,
2.176E008,7.030E+2,
2.18E08,6.330E+2,
2.184E008,6.700E+2,
2.188E008,7.030E+2,
2.192E008,7.240E+2,
2.196E008,7.190E+2,
2.2E08,7.010E+2,
2.204E008,7.080E+2,
2.208E008,7.000E+2,
2.212E008,6.720E+2,
2.216E008,7.320E+2,
2.22E08,7.250E+2,
2.224E008,7.700E+2,
2.228E008,6.930E+2,
2.232E008,6.630E+2,
2.236E008,6.640E+2,
2.24E08,7.120E+2,
2.244E008,7.490E+2,
2.248E008,6.780E+2,
2.252E008,7.360E+2,
2.256E008,6.780E+2,
2.26E08,7.370E+2,
2.264E008,7.180E+2,
2.268E008,7.110E+2,
2.272E008,7.240E+2,
2.276E008,6.900E+2,
2.28E08,7.200E+2,
2.284E008,7.070E+2,
2.288E008,7.150E+2,
2.292E008,6.590E+2,
2.296E008,7.460E+2,
2.3E08,6.970E+2,
2.304E008,7.560E+2,
2.308E008,6.850E+2,
2.312E008,6.960E+2,
2.316E008,6.860E+2,
2.32E08,6.970E+2,
2.324E008,6.250E+2,
2.328E008,7.010E+2,
2.332E008,7.060E+2,
2.336E008,7.630E+2,
2.34E08,6.540E+2,
2.344E008,6.990E+2,
2.348E008,6.950E+2,
2.352E008,6.890E+2,
2.356E008,6.820E+2,
2.36E08,6.930E+2,
2.364E008,7.030E+2,
2.368E008,6.480E+2,
2.372E008,6.760E+2,
2.376E008,6.660E+2,
2.38E08,7.270E+2,
2.384E008,6.900E+2,
2.388E008,7.010E+2,
2.392E008,6.950E+2,
2.396E008,6.850E+2,
2.4E08,7.130E+2,
2.404E008,6.900E+2,
2.408E008,7.160E+2,
2.412E008,7.410E+2,
2.416E008,6.570E+2,
2.42E08,6.810E+2,
2.424E008,6.830E+2,
2.428E008,6.360E+2,
2.432E008,7.250E+2,
2.436E008,6.940E+2,
2.44E08,6.770E+2,
2.444E008,7.560E+2,
2.448E008,7.430E+2,
2.452E008,7.070E+2,
2.456E008,6.680E+2,
2.46E08,6.800E+2,
2.464E008,7.450E+2,
2.468E008,7.000E+2,
2.472E008,6.970E+2,
2.476E008,7.580E+2,
2.48E08,6.330E+2,
2.484E008,7.100E+2,
2.488E008,7.110E+2,
2.492E008,7.300E+2,
2.496E008,7.240E+2,
2.5E08,7.080E+2,
2.504E008,6.810E+2,
2.508E008,7.520E+2,
2.512E008,6.860E+2,
2.516E008,7.190E+2,
2.52E08,6.670E+2,
2.524E008,7.110E+2,
2.528E008,6.950E+2,
2.532E008,7.200E+2,
2.536E008,6.880E+2,
2.54E08,6.780E+2,
2.544E008,7.260E+2,
2.548E008,7.300E+2,
2.552E008,6.860E+2,
2.556E008,6.870E+2,
2.56E08,6.870E+2,
2.564E008,6.840E+2,
2.568E008,7.600E+2,
2.572E008,7.160E+2,
2.576E008,6.750E+2,
2.58E08,7.500E+2,
2.584E008,7.190E+2,
2.588E008,6.810E+2,
2.592E008,7.020E+2,
2.596E008,6.470E+2,
2.6E08,6.800E+2,
2.604E008,7.220E+2,
2.608E008,6.690E+2,
2.612E008,7.410E+2,
2.616E008,6.980E+2,
2.62E08,7.500E+2,
2.624E008,7.190E+2,
2.628E008,6.660E+2,
2.632E008,6.890E+2,
2.636E008,6.770E+2,
2.64E08,7.320E+2,
2.644E008,7.180E+2,
2.648E008,7.190E+2,
2.652E008,7.090E+2,
2.656E008,6.780E+2,
2.66E08,7.550E+2,
2.664E008,7.120E+2,
2.668E008,7.020E+2,
2.672E008,6.840E+2,
2.676E008,7.310E+2,
2.68E08,6.820E+2,
2.684E008,6.780E+2,
2.688E008,7.010E+2,
2.692E008,7.130E+2,
2.696E008,6.910E+2,
2.7E08,7.590E+2,
2.704E008,6.960E+2,
2.708E008,7.000E+2,
2.712E008,7.550E+2,
2.716E008,6.860E+2,
2.72E08,7.270E+2,
2.724E008,7.230E+2,
2.728E008,6.420E+2,
2.732E008,6.400E+2,
2.736E008,6.720E+2,
2.74E08,7.000E+2,
2.744E008,7.160E+2,
2.748E008,7.410E+2,
2.752E008,6.390E+2,
2.756E008,7.230E+2,
2.76E08,7.120E+2,
2.764E008,7.200E+2,
2.768E008,6.690E+2,
2.772E008,6.550E+2,
2.776E008,7.330E+2,
2.78E08,7.220E+2,
2.784E008,7.520E+2,
2.788E008,6.590E+2,
2.792E008,6.950E+2,
