Labels,amplitude_3_5sweeps,
Type,Time Scan,
Comment,,
Start,0.00,
Stop,3.996E008,
Step,4E05,
Fixed/Offset, ,
XAxis,Time,
YAxis,Counts,

1.268E008,2.182E+4,
1.272E008,2.118E+4,
1.276E008,2.052E+4,
1.28E08,1.989E+4,
1.284E008,1.922E+4,
1.288E008,1.830E+4,
1.292E008,1.774E+4,
1.296E008,1.701E+4,
1.3E08,1.629E+4,
1.304E008,1.565E+4,
1.308E008,1.524E+4,
1.312E008,1.466E+4,
1.316E008,1.414E+4,
1.32E08,1.378E+4,
1.324E008,1.324E+4,
1.328E008,1.249E+4,
1.332E008,1.221E+4,
1.336E008,1.166E+4,
1.34E08,1.143E+4,
1.344E008,1.090E+4,
1.348E008,1.042E+4,
1.352E008,1.019E+4,
1.356E008,9.744E+3,
1.36E08,9.203E+3,
1.364E008,8.921E+3,
1.368E008,8.619E+3,
1.372E008,8.293E+3,
1.376E008,7.945E+3,
1.38E08,7.729E+3,
1.384E008,7.405E+3,
1.388E008,7.095E+3,
1.392E008,6.729E+3,
1.396E008,6.504E+3,
1.4E08,6.357E+3,
1.404E008,6.147E+3,
1.408E008,5.881E+3,
1.412E008,5.604E+3,
1.416E008,5.437E+3,
1.42E08,5.257E+3,
1.424E008,4.927E+3,
1.428E008,4.831E+3,
1.432E008,4.504E+3,
1.436E008,4.461E+3,
1.44E08,4.194E+3,
1.444E008,3.988E+3,
1.448E008,3.915E+3,
1.452E008,3.738E+3,
1.456E008,3.659E+3,
1.46E08,3.431E+3,
1.464E008,3.373E+3,
1.468E008,3.230E+3,
1.472E008,3.047E+3,
1.476E008,2.970E+3,
1.48E08,2.850E+3,
1.484E008,2.822E+3,
1.488E008,2.682E+3,
1.492E008,2.510E+3,
1.496E008,2.495E+3,
1.5E08,2.300E+3,
1.504E008,2.333E+3,
1.508E008,2.185E+3,
1.512E008,2.057E+3,
1.516E008,2.033E+3,
1.52E08,1.883E+3,
1.524E008,1.865E+3,
1.528E008,1.794E+3,
1.532E008,1.722E+3,
1.536E008,1.742E+3,
1.54E08,1.633E+3,
1.544E008,1.563E+3,
1.548E008,1.539E+3,
1.552E008,1.468E+3,
1.556E008,1.479E+3,
1.56E08,1.392E+3,
1.564E008,1.321E+3,
1.568E008,1.277E+3,
1.572E008,1.261E+3,
1.576E008,1.122E+3,
1.58E08,1.169E+3,
1.584E008,1.076E+3,
1.588E008,1.041E+3,
1.592E008,1.040E+3,
1.596E008,1.060E+3,
1.6E08,1.019E+3,
1.604E008,9.780E+2,
1.608E008,8.580E+2,
1.612E008,9.170E+2,
1.616E008,8.800E+2,
1.62E08,8.770E+2,
1.624E008,8.280E+2,
1.628E008,8.070E+2,
1.632E008,7.570E+2,
1.636E008,7.960E+2,
1.64E08,7.360E+2,
1.644E008,7.190E+2,
1.648E008,7.590E+2,
1.652E008,7.020E+2,
1.656E008,6.990E+2,
1.66E08,6.780E+2,
1.664E008,5.760E+2,
1.668E008,5.910E+2,
1.672E008,6.210E+2,
1.676E008,5.630E+2,
1.68E08,5.580E+2,
1.684E008,6.200E+2,
1.688E008,5.610E+2,
1.692E008,5.310E+2,
1.696E008,5.310E+2,
1.7E08,5.270E+2,
1.704E008,5.480E+2,
1.708E008,5.320E+2,
1.712E008,4.710E+2,
1.716E008,5.090E+2,
1.72E08,4.530E+2,
1.724E008,4.860E+2,
1.728E008,4.890E+2,
1.732E008,4.670E+2,
1.736E008,4.920E+2,
1.74E08,4.490E+2,
1.744E008,4.110E+2,
1.748E008,3.880E+2,
1.752E008,4.000E+2,
1.756E008,4.150E+2,
1.76E08,4.380E+2,
1.764E008,3.690E+2,
1.768E008,4.150E+2,
1.772E008,4.110E+2,
1.776E008,3.850E+2,
1.78E08,4.000E+2,
1.784E008,4.180E+2,
1.788E008,3.780E+2,
1.792E008,3.680E+2,
1.796E008,3.580E+2,
1.8E08,3.800E+2,
1.804E008,3.810E+2,
1.808E008,3.420E+2,
1.812E008,3.480E+2,
1.816E008,3.490E+2,
1.82E08,3.570E+2,
1.824E008,3.570E+2,
1.828E008,3.590E+2,
1.832E008,3.330E+2,
1.836E008,3.740E+2,
1.84E08,3.170E+2,
1.844E008,3.510E+2,
1.848E008,3.250E+2,
1.852E008,3.320E+2,
1.856E008,3.180E+2,
1.86E08,3.430E+2,
1.864E008,2.920E+2,
1.868E008,3.150E+2,
1.872E008,3.450E+2,
1.876E008,3.200E+2,
1.88E08,3.260E+2,
1.884E008,3.420E+2,
1.888E008,3.280E+2,
1.892E008,2.880E+2,
1.896E008,3.220E+2,
1.9E08,3.130E+2,
1.904E008,3.430E+2,
1.908E008,3.160E+2,
1.912E008,3.200E+2,
1.916E008,3.250E+2,
1.92E08,3.240E+2,
1.924E008,3.100E+2,
1.928E008,2.800E+2,
1.932E008,3.020E+2,
1.936E008,3.020E+2,
1.94E08,2.720E+2,
1.944E008,2.730E+2,
1.948E008,2.720E+2,
1.952E008,2.880E+2,
1.956E008,2.960E+2,
1.96E08,2.900E+2,
1.964E008,2.960E+2,
1.968E008,2.920E+2,
1.972E008,2.940E+2,
1.976E008,2.970E+2,
1.98E08,2.930E+2,
1.984E008,3.030E+2,
1.988E008,2.990E+2,
1.992E008,2.900E+2,
1.996E008,3.110E+2,
2E08,3.040E+2,
2.004E008,2.840E+2,
2.008E008,2.900E+2,
2.012E008,2.630E+2,
2.016E008,2.960E+2,
2.02E08,2.950E+2,
2.024E008,2.990E+2,
2.028E008,3.120E+2,
2.032E008,3.150E+2,
2.036E008,3.070E+2,
2.04E08,2.790E+2,
2.044E008,2.650E+2,
2.048E008,3.040E+2,
2.052E008,2.830E+2,
2.056E008,2.780E+2,
2.06E08,2.960E+2,
2.064E008,3.220E+2,
2.068E008,2.960E+2,
2.072E008,2.850E+2,
2.076E008,2.820E+2,
2.08E08,3.020E+2,
2.084E008,2.700E+2,
2.088E008,3.370E+2,
2.092E008,2.940E+2,
2.096E008,2.860E+2,
2.1E08,2.870E+2,
2.104E008,2.640E+2,
2.108E008,2.820E+2,
2.112E008,2.590E+2,
2.116E008,3.110E+2,
2.12E08,2.810E+2,
2.124E008,3.040E+2,
2.128E008,3.150E+2,
2.132E008,2.910E+2,
2.136E008,2.690E+2,
2.14E08,2.580E+2,
2.144E008,3.060E+2,
2.148E008,2.790E+2,
2.152E008,2.630E+2,
2.156E008,3.100E+2,
2.16E08,2.920E+2,
2.164E008,2.790E+2,
2.168E008,3.160E+2,
2.172E008,2.890E+2,
2.176E008,2.770E+2,
2.18E08,3.070E+2,
2.184E008,2.800E+2,
2.188E008,2.650E+2,
2.192E008,3.130E+2,
2.196E008,3.000E+2,
2.2E08,3.430E+2,
2.204E008,2.880E+2,
2.208E008,2.520E+2,
2.212E008,2.870E+2,
2.216E008,2.750E+2,
2.22E08,2.550E+2,
2.224E008,2.550E+2,
2.228E008,2.950E+2,
2.232E008,3.120E+2,
2.236E008,2.820E+2,
2.24E08,2.790E+2,
2.244E008,2.470E+2,
2.248E008,3.080E+2,
2.252E008,2.730E+2,
2.256E008,2.660E+2,
