Labels,5p5,
Type,Time Scan,
Comment,,
Start,0.00,
Stop,3.996E008,
Step,4E05,
Fixed/Offset, ,
XAxis,Time,
YAxis,Counts,

1.16E08,4.341E+5,
1.164E008,4.222E+5,
1.168E008,4.110E+5,
1.172E008,4.000E+5,
1.176E008,3.892E+5,
1.18E08,3.783E+5,
1.184E008,3.685E+5,
1.188E008,3.582E+5,
1.192E008,3.477E+5,
1.196E008,3.382E+5,
1.2E08,3.290E+5,
1.204E008,3.192E+5,
1.208E008,3.122E+5,
1.212E008,3.031E+5,
1.216E008,2.942E+5,
1.22E08,2.862E+5,
1.224E008,2.778E+5,
1.228E008,2.694E+5,
1.232E008,2.627E+5,
1.236E008,2.557E+5,
1.24E08,2.477E+5,
1.244E008,2.406E+5,
1.248E008,2.337E+5,
1.252E008,2.280E+5,
1.256E008,2.215E+5,
1.26E08,2.150E+5,
1.264E008,2.089E+5,
1.268E008,2.041E+5,
1.272E008,1.975E+5,
1.276E008,1.923E+5,
1.28E08,1.873E+5,
1.284E008,1.816E+5,
1.288E008,1.757E+5,
1.292E008,1.715E+5,
1.296E008,1.659E+5,
1.3E08,1.627E+5,
1.304E008,1.565E+5,
1.308E008,1.527E+5,
1.312E008,1.487E+5,
1.316E008,1.443E+5,
1.32E08,1.401E+5,
1.324E008,1.369E+5,
1.328E008,1.326E+5,
1.332E008,1.289E+5,
1.336E008,1.257E+5,
1.34E08,1.224E+5,
1.344E008,1.184E+5,
1.348E008,1.158E+5,
1.352E008,1.115E+5,
1.356E008,1.093E+5,
1.36E08,1.065E+5,
1.364E008,1.035E+5,
1.368E008,1.003E+5,
1.372E008,9.735E+4,
1.376E008,9.568E+4,
1.38E08,9.289E+4,
1.384E008,9.079E+4,
1.388E008,8.770E+4,
1.392E008,8.588E+4,
1.396E008,8.292E+4,
1.4E08,8.077E+4,
1.404E008,7.865E+4,
1.408E008,7.612E+4,
1.412E008,7.463E+4,
1.416E008,7.244E+4,
1.42E08,7.067E+4,
1.424E008,6.942E+4,
1.428E008,6.632E+4,
1.432E008,6.577E+4,
1.436E008,6.326E+4,
1.44E08,6.166E+4,
1.444E008,6.068E+4,
1.448E008,5.902E+4,
1.452E008,5.742E+4,
1.456E008,5.616E+4,
1.46E08,5.461E+4,
1.464E008,5.340E+4,
1.468E008,5.169E+4,
1.472E008,5.106E+4,
1.476E008,4.974E+4,
1.48E08,4.848E+4,
1.484E008,4.714E+4,
1.488E008,4.588E+4,
1.492E008,4.562E+4,
1.496E008,4.389E+4,
1.5E08,4.291E+4,
1.504E008,4.169E+4,
1.508E008,4.158E+4,
1.512E008,4.052E+4,
1.516E008,3.921E+4,
1.52E08,3.820E+4,
1.524E008,3.749E+4,
1.528E008,3.705E+4,
1.532E008,3.588E+4,
1.536E008,3.499E+4,
1.54E08,3.412E+4,
1.544E008,3.350E+4,
1.548E008,3.273E+4,
1.552E008,3.237E+4,
1.556E008,3.207E+4,
1.56E08,3.110E+4,
1.564E008,3.055E+4,
1.568E008,2.963E+4,
1.572E008,2.911E+4,
1.576E008,2.886E+4,
1.58E08,2.796E+4,
1.584E008,2.755E+4,
1.588E008,2.677E+4,
1.592E008,2.635E+4,
1.596E008,2.600E+4,
1.6E08,2.609E+4,
1.604E008,2.544E+4,
1.608E008,2.476E+4,
1.612E008,2.410E+4,
1.616E008,2.401E+4,
1.62E08,2.365E+4,
1.624E008,2.325E+4,
1.628E008,2.257E+4,
1.632E008,2.222E+4,
1.636E008,2.174E+4,
1.64E08,2.142E+4,
1.644E008,2.147E+4,
1.648E008,2.097E+4,
1.652E008,2.072E+4,
1.656E008,2.055E+4,
1.66E08,2.017E+4,
1.664E008,1.991E+4,
1.668E008,1.937E+4,
1.672E008,1.917E+4,
1.676E008,1.954E+4,
1.68E08,1.886E+4,
1.684E008,1.877E+4,
1.688E008,1.840E+4,
1.692E008,1.808E+4,
1.696E008,1.789E+4,
1.7E08,1.787E+4,
1.704E008,1.755E+4,
1.708E008,1.730E+4,
1.712E008,1.700E+4,
1.716E008,1.682E+4,
1.72E08,1.653E+4,
1.724E008,1.626E+4,
1.728E008,1.643E+4,
1.732E008,1.630E+4,
1.736E008,1.611E+4,
1.74E08,1.600E+4,
1.744E008,1.567E+4,
1.748E008,1.538E+4,
1.752E008,1.547E+4,
1.756E008,1.553E+4,
1.76E08,1.514E+4,
1.764E008,1.531E+4,
1.768E008,1.492E+4,
1.772E008,1.510E+4,
1.776E008,1.476E+4,
1.78E08,1.456E+4,
1.784E008,1.462E+4,
1.788E008,1.428E+4,
1.792E008,1.423E+4,
1.796E008,1.413E+4,
1.8E08,1.395E+4,
1.804E008,1.395E+4,
1.808E008,1.390E+4,
1.812E008,1.364E+4,
1.816E008,1.375E+4,
1.82E08,1.352E+4,
1.824E008,1.355E+4,
1.828E008,1.355E+4,
1.832E008,1.323E+4,
1.836E008,1.321E+4,
1.84E08,1.321E+4,
1.844E008,1.305E+4,
1.848E008,1.294E+4,
1.852E008,1.306E+4,
1.856E008,1.277E+4,
1.86E08,1.272E+4,
1.864E008,1.294E+4,
1.868E008,1.254E+4,
1.872E008,1.248E+4,
1.876E008,1.272E+4,
1.88E08,1.273E+4,
1.884E008,1.280E+4,
1.888E008,1.262E+4,
1.892E008,1.232E+4,
1.896E008,1.241E+4,
1.9E08,1.238E+4,
1.904E008,1.236E+4,
1.908E008,1.223E+4,
1.912E008,1.217E+4,
1.916E008,1.224E+4,
1.92E08,1.236E+4,
1.924E008,1.224E+4,
1.928E008,1.201E+4,
1.932E008,1.206E+4,
1.936E008,1.202E+4,
1.94E08,1.182E+4,
1.944E008,1.197E+4,
1.948E008,1.212E+4,
1.952E008,1.192E+4,
1.956E008,1.190E+4,
1.96E08,1.195E+4,
1.964E008,1.207E+4,
1.968E008,1.208E+4,
1.972E008,1.170E+4,
1.976E008,1.166E+4,
1.98E08,1.161E+4,
1.984E008,1.170E+4,
1.988E008,1.160E+4,
1.992E008,1.144E+4,
1.996E008,1.170E+4,
2E08,1.145E+4,
2.004E008,1.149E+4,
