Labels,t12_air,
Type,Time Scan,
Comment,,
Start,0.00,
Stop,7.998E007,
Step,2E04,
Fixed/Offset, ,
XAxis,Time,
YAxis,Counts,

7.26E06,1.809E+4,
7.28E06,1.846E+4,
7.3E06,1.804E+4,
7.32E06,1.831E+4,
7.34E06,1.810E+4,
7.36E06,1.815E+4,
7.38E06,1.811E+4,
7.4E06,1.768E+4,
7.42E06,1.788E+4,
7.44E06,1.784E+4,
7.46E06,1.763E+4,
7.48E06,1.788E+4,
7.5E06,1.779E+4,
7.52E06,1.769E+4,
7.54E06,1.761E+4,
7.56E06,1.771E+4,
7.58E06,1.769E+4,
7.6E06,1.761E+4,
7.62E06,1.748E+4,
7.64E06,1.768E+4,
7.66E06,1.765E+4,
7.68E06,1.737E+4,
7.7E06,1.735E+4,
7.72E06,1.740E+4,
7.74E06,1.727E+4,
7.76E06,1.723E+4,
7.78E06,1.731E+4,
7.8E06,1.713E+4,
7.82E06,1.715E+4,
7.84E06,1.734E+4,
7.86E06,1.705E+4,
7.88E06,1.669E+4,
7.9E06,1.707E+4,
7.92E06,1.719E+4,
7.94E06,1.680E+4,
7.96E06,1.706E+4,
7.98E06,1.683E+4,
8E06,1.693E+4,
8.02E06,1.684E+4,
8.04E06,1.669E+4,
8.06E06,1.671E+4,
8.08E06,1.671E+4,
8.1E06,1.679E+4,
8.12E06,1.663E+4,
8.14E06,1.666E+4,
8.16E06,1.674E+4,
8.18E06,1.671E+4,
8.2E06,1.638E+4,
8.22E06,1.650E+4,
8.24E06,1.663E+4,
8.26E06,1.648E+4,
8.28E06,1.620E+4,
8.3E06,1.657E+4,
8.32E06,1.624E+4,
8.34E06,1.627E+4,
8.36E06,1.620E+4,
8.38E06,1.618E+4,
8.4E06,1.600E+4,
8.42E06,1.581E+4,
8.44E06,1.604E+4,
8.46E06,1.602E+4,
8.48E06,1.581E+4,
8.5E06,1.611E+4,
8.52E06,1.613E+4,
8.54E06,1.607E+4,
8.56E06,1.600E+4,
8.58E06,1.576E+4,
8.6E06,1.611E+4,
8.62E06,1.585E+4,
8.64E06,1.567E+4,
8.66E06,1.576E+4,
8.68E06,1.580E+4,
8.7E06,1.582E+4,
8.72E06,1.565E+4,
8.74E06,1.577E+4,
8.76E06,1.553E+4,
8.78E06,1.564E+4,
8.8E06,1.544E+4,
8.82E06,1.532E+4,
8.84E06,1.567E+4,
8.86E06,1.540E+4,
8.88E06,1.526E+4,
8.9E06,1.530E+4,
8.92E06,1.538E+4,
8.94E06,1.538E+4,
8.96E06,1.510E+4,
8.98E06,1.533E+4,
9E06,1.513E+4,
9.02E06,1.507E+4,
9.04E06,1.502E+4,
9.06E06,1.503E+4,
9.08E06,1.506E+4,
9.1E06,1.495E+4,
9.12E06,1.492E+4,
9.14E06,1.499E+4,
9.16E06,1.496E+4,
9.18E06,1.513E+4,
9.2E06,1.497E+4,
9.22E06,1.480E+4,
9.24E06,1.500E+4,
9.26E06,1.479E+4,
9.28E06,1.478E+4,
9.3E06,1.481E+4,
9.32E06,1.478E+4,
9.34E06,1.448E+4,
9.36E06,1.469E+4,
9.38E06,1.461E+4,
9.4E06,1.441E+4,
9.42E06,1.446E+4,
9.44E06,1.455E+4,
9.46E06,1.462E+4,
9.48E06,1.473E+4,
9.5E06,1.432E+4,
9.52E06,1.437E+4,
9.54E06,1.425E+4,
9.56E06,1.439E+4,
9.58E06,1.444E+4,
9.6E06,1.426E+4,
9.62E06,1.418E+4,
9.64E06,1.429E+4,
9.66E06,1.411E+4,
9.68E06,1.391E+4,
9.7E06,1.408E+4,
9.72E06,1.397E+4,
9.74E06,1.403E+4,
9.76E06,1.403E+4,
9.78E06,1.368E+4,
9.8E06,1.391E+4,
9.82E06,1.393E+4,
9.84E06,1.378E+4,
9.86E06,1.392E+4,
9.88E06,1.378E+4,
9.9E06,1.385E+4,
9.92E06,1.383E+4,
9.94E06,1.382E+4,
9.96E06,1.382E+4,
9.98E06,1.364E+4,
1E07,1.378E+4,
1.002E007,1.362E+4,
1.004E007,1.356E+4,
1.006E007,1.368E+4,
1.008E007,1.368E+4,
1.01E07,1.377E+4,
1.012E007,1.337E+4,
1.014E007,1.350E+4,
1.016E007,1.357E+4,
1.018E007,1.328E+4,
1.02E07,1.358E+4,
1.022E007,1.341E+4,
1.024E007,1.341E+4,
1.026E007,1.340E+4,
1.028E007,1.349E+4,
1.03E07,1.332E+4,
1.032E007,1.329E+4,
1.034E007,1.309E+4,
1.036E007,1.321E+4,
1.038E007,1.331E+4,
1.04E07,1.319E+4,
1.042E007,1.322E+4,
1.044E007,1.327E+4,
1.046E007,1.312E+4,
1.048E007,1.297E+4,
1.05E07,1.310E+4,
1.052E007,1.282E+4,
1.054E007,1.305E+4,
1.056E007,1.287E+4,
1.058E007,1.296E+4,
1.06E07,1.284E+4,
1.062E007,1.294E+4,
1.064E007,1.278E+4,
1.066E007,1.280E+4,
1.068E007,1.280E+4,
1.07E07,1.287E+4,
1.072E007,1.294E+4,
1.074E007,1.282E+4,
1.076E007,1.265E+4,
1.078E007,1.282E+4,
1.08E07,1.278E+4,
1.082E007,1.265E+4,
1.084E007,1.256E+4,
1.086E007,1.252E+4,
1.088E007,1.258E+4,
1.09E07,1.270E+4,
1.092E007,1.246E+4,
1.094E007,1.249E+4,
1.096E007,1.273E+4,
1.098E007,1.237E+4,
1.1E07,1.255E+4,
1.102E007,1.258E+4,
1.104E007,1.253E+4,
1.106E007,1.249E+4,
1.108E007,1.240E+4,
1.11E07,1.224E+4,
1.112E007,1.220E+4,
1.114E007,1.233E+4,
1.116E007,1.220E+4,
1.118E007,1.220E+4,
1.12E07,1.207E+4,
1.122E007,1.230E+4,
1.124E007,1.217E+4,
1.126E007,1.208E+4,
1.128E007,1.223E+4,
1.13E07,1.217E+4,
1.132E007,1.202E+4,
1.134E007,1.204E+4,
1.136E007,1.178E+4,
1.138E007,1.214E+4,
1.14E07,1.187E+4,
1.142E007,1.185E+4,
1.144E007,1.193E+4,
1.146E007,1.202E+4,
1.148E007,1.195E+4,
1.15E07,1.181E+4,
1.152E007,1.189E+4,
1.154E007,1.172E+4,
1.156E007,1.194E+4,
1.158E007,1.171E+4,
1.16E07,1.185E+4,
1.162E007,1.176E+4,
1.164E007,1.161E+4,
1.166E007,1.154E+4,
1.168E007,1.169E+4,
1.17E07,1.160E+4,
1.172E007,1.158E+4,
1.174E007,1.170E+4,
1.176E007,1.153E+4,
1.178E007,1.155E+4,
1.18E07,1.138E+4,
1.182E007,1.159E+4,
1.184E007,1.153E+4,
1.186E007,1.152E+4,
1.188E007,1.130E+4,
1.19E07,1.141E+4,
1.192E007,1.148E+4,
1.194E007,1.130E+4,
1.196E007,1.137E+4,
1.198E007,1.120E+4,
1.2E07,1.125E+4,
1.202E007,1.127E+4,
1.204E007,1.118E+4,
1.206E007,1.127E+4,
1.208E007,1.118E+4,
1.21E07,1.129E+4,
1.212E007,1.114E+4,
1.214E007,1.107E+4,
1.216E007,1.110E+4,
1.218E007,1.117E+4,
1.22E07,1.094E+4,
1.222E007,1.108E+4,
1.224E007,1.126E+4,
1.226E007,1.108E+4,
1.228E007,1.104E+4,
1.23E07,1.095E+4,
1.232E007,1.100E+4,
1.234E007,1.089E+4,
1.236E007,1.100E+4,
1.238E007,1.092E+4,
1.24E07,1.083E+4,
1.242E007,1.072E+4,
1.244E007,1.085E+4,
1.246E007,1.064E+4,
1.248E007,1.087E+4,
1.25E07,1.070E+4,
1.252E007,1.053E+4,
1.254E007,1.064E+4,
1.256E007,1.068E+4,
1.258E007,1.054E+4,
1.26E07,1.071E+4,
1.262E007,1.053E+4,
1.264E007,1.052E+4,
1.266E007,1.052E+4,
1.268E007,1.052E+4,
1.27E07,1.063E+4,
1.272E007,1.057E+4,
1.274E007,1.061E+4,
1.276E007,1.065E+4,
1.278E007,1.041E+4,
1.28E07,1.053E+4,
1.282E007,1.045E+4,
1.284E007,1.045E+4,
1.286E007,1.046E+4,
1.288E007,1.038E+4,
1.29E07,1.034E+4,
1.292E007,1.041E+4,
1.294E007,1.036E+4,
1.296E007,1.031E+4,
1.298E007,1.014E+4,
1.3E07,1.034E+4,
1.302E007,9.932E+3,
1.304E007,1.014E+4,
1.306E007,1.018E+4,
1.308E007,1.023E+4,
1.31E07,1.002E+4,
1.312E007,9.992E+3,
1.314E007,9.885E+3,
1.316E007,1.004E+4,
1.318E007,1.004E+4,
1.32E07,9.964E+3,
1.322E007,1.005E+4,
1.324E007,1.014E+4,
1.326E007,1.009E+4,
1.328E007,9.969E+3,
1.33E07,1.006E+4,
1.332E007,9.948E+3,
