Labels,T12,
Type,Time Scan,
Comment,,
Start,0.00,
Stop,1.998E008,
Step,2E05,
Fixed/Offset, ,
XAxis,Time,
YAxis,Counts,

71800006.000000,8.427E+3,
72000006.000000,7.983E+3,
72200006.000000,8.252E+3,
72400006.000000,8.163E+3,
72600006.000000,8.134E+3,
72800006.000000,7.956E+3,
73000006.000000,8.488E+3,
73200006.000000,8.327E+3,
73400006.000000,8.175E+3,
73600006.000000,8.267E+3,
73800006.000000,8.028E+3,
74000006.000000,8.053E+3,
74200006.000000,8.320E+3,
74400006.000000,8.303E+3,
74600006.000000,8.181E+3,
74800006.000000,8.304E+3,
75000006.000000,8.343E+3,
75200006.000000,8.313E+3,
75400006.000000,8.256E+3,
75600006.000000,8.102E+3,
75800006.000000,8.155E+3,
76000006.000000,8.257E+3,
76200006.000000,8.204E+3,
76400006.000000,8.240E+3,
76600006.000000,8.197E+3,
76800006.000000,8.150E+3,
77000006.000000,8.172E+3,
77200006.000000,8.171E+3,
77400006.000000,8.048E+3,
77600006.000000,8.408E+3,
77800006.000000,8.326E+3,
78000006.000000,8.270E+3,
78200006.000000,8.245E+3,
78400006.000000,8.290E+3,
78600006.000000,8.317E+3,
78800006.000000,8.185E+3,
79000006.000000,8.175E+3,
79200006.000000,8.176E+3,
79400006.000000,8.185E+3,
79600006.000000,8.129E+3,
79800006.000000,8.068E+3,
80000006.000000,8.380E+3,
80200006.000000,8.104E+3,
80400006.000000,8.115E+3,
80600006.000000,8.285E+3,
80800006.000000,8.237E+3,
81000006.000000,8.365E+3,
81200006.000000,8.272E+3,
81400006.000000,8.344E+3,
81600006.000000,8.204E+3,
81800006.000000,8.188E+3,
82000006.000000,8.070E+3,
82200006.000000,8.264E+3,
82400006.000000,8.026E+3,
82600006.000000,8.208E+3,
82800006.000000,8.118E+3,
83000006.000000,8.200E+3,
83200007.000000,8.126E+3,
83400007.000000,8.346E+3,
83600007.000000,8.280E+3,
83800007.000000,8.158E+3,
84000007.000000,8.229E+3,
84200007.000000,8.246E+3,
84400007.000000,8.186E+3,
84600007.000000,8.298E+3,
84800007.000000,8.222E+3,
85000007.000000,8.121E+3,
85200007.000000,8.026E+3,
85400007.000000,8.232E+3,
85600007.000000,8.069E+3,
85800007.000000,8.124E+3,
86000007.000000,8.195E+3,
86200007.000000,8.292E+3,
86400007.000000,8.225E+3,
86600007.000000,8.114E+3,
86800007.000000,8.176E+3,
87000007.000000,8.229E+3,
87200007.000000,8.279E+3,
87400007.000000,8.186E+3,
87600007.000000,8.136E+3,
87800007.000000,8.232E+3,
88000007.000000,8.082E+3,
88200007.000000,8.096E+3,
88400007.000000,8.186E+3,
88600007.000000,8.248E+3,
88800007.000000,8.068E+3,
89000007.000000,8.212E+3,
89200007.000000,8.030E+3,
89400007.000000,8.346E+3,
89600007.000000,8.179E+3,
89800007.000000,8.312E+3,
90000007.000000,8.163E+3,
90200007.000000,8.073E+3,
90400007.000000,8.140E+3,
90600007.000000,8.225E+3,
90800007.000000,8.043E+3,
91000007.000000,7.974E+3,
91200007.000000,7.989E+3,
91400007.000000,8.322E+3,
91600007.000000,8.057E+3,
91800007.000000,8.125E+3,
92000007.000000,8.091E+3,
92200007.000000,8.051E+3,
92400007.000000,8.004E+3,
92600007.000000,8.280E+3,
92800007.000000,8.009E+3,
93000007.000000,8.199E+3,
93200007.000000,8.068E+3,
93400007.000000,8.009E+3,
93600007.000000,8.086E+3,
93800007.000000,8.162E+3,
94000007.000000,8.108E+3,
94200007.000000,8.094E+3,
94400007.000000,8.138E+3,
94600007.000000,8.132E+3,
94800007.000000,8.047E+3,
