Labels,T13_2ms,
Type,Time Scan,
Comment,,
Start,0.00,
Stop,1.998E008,
Step,2E05,
Fixed/Offset, ,
XAxis,Time,
YAxis,Counts,

84400007.000000,7.380E+3,
84600007.000000,7.472E+3,
84800007.000000,7.282E+3,
85000007.000000,7.357E+3,
85200007.000000,7.405E+3,
85400007.000000,7.381E+3,
85600007.000000,7.281E+3,
85800007.000000,7.212E+3,
86000007.000000,7.194E+3,
86200007.000000,7.295E+3,
86400007.000000,7.317E+3,
86600007.000000,7.386E+3,
86800007.000000,7.440E+3,
87000007.000000,7.432E+3,
87200007.000000,7.205E+3,
87400007.000000,7.466E+3,
87600007.000000,7.171E+3,
87800007.000000,7.233E+3,
88000007.000000,7.308E+3,
88200007.000000,7.300E+3,
88400007.000000,7.359E+3,
88600007.000000,7.437E+3,
88800007.000000,7.245E+3,
89000007.000000,7.327E+3,
89200007.000000,7.341E+3,
89400007.000000,7.136E+3,
89600007.000000,7.254E+3,
89800007.000000,7.307E+3,
90000007.000000,7.486E+3,
90200007.000000,7.220E+3,
90400007.000000,7.289E+3,
90600007.000000,7.320E+3,
90800007.000000,6.912E+3,
91000007.000000,7.313E+3,
91200007.000000,7.271E+3,
91400007.000000,7.317E+3,
91600007.000000,7.266E+3,
91800007.000000,7.234E+3,
92000007.000000,7.328E+3,
92200007.000000,7.262E+3,
92400007.000000,7.309E+3,
92600007.000000,7.190E+3,
92800007.000000,7.227E+3,
93000007.000000,7.282E+3,
93200007.000000,7.330E+3,
93400007.000000,7.271E+3,
93600007.000000,7.226E+3,
93800007.000000,7.364E+3,
94000007.000000,7.412E+3,
94200007.000000,7.134E+3,
94400007.000000,7.408E+3,
94600007.000000,7.092E+3,
94800007.000000,7.082E+3,
95000007.000000,7.185E+3,
95200007.000000,7.175E+3,
95400007.000000,7.098E+3,
95600007.000000,7.437E+3,
95800007.000000,7.333E+3,
96000008.000000,7.118E+3,
96200008.000000,7.233E+3,
96400008.000000,7.188E+3,
96600008.000000,7.201E+3,
96800008.000000,7.242E+3,
97000008.000000,7.252E+3,
97200008.000000,7.184E+3,
97400008.000000,7.207E+3,
97600008.000000,7.142E+3,
97800008.000000,7.129E+3,
98000008.000000,7.123E+3,
98200008.000000,7.072E+3,
98400008.000000,7.294E+3,
98600008.000000,7.244E+3,
98800008.000000,7.408E+3,
99000008.000000,7.087E+3,
99200008.000000,7.154E+3,
99400008.000000,7.036E+3,
99600008.000000,7.207E+3,
99800008.000000,6.985E+3,
1E08,7.322E+3,
1.002E008,7.140E+3,
1.004E008,7.258E+3,
1.006E008,7.349E+3,
1.008E008,7.205E+3,
1.01E08,7.074E+3,
1.012E008,7.176E+3,
1.014E008,7.167E+3,
1.016E008,7.127E+3,
1.018E008,7.209E+3,
1.02E08,7.218E+3,
1.022E008,7.123E+3,
1.024E008,7.258E+3,
1.026E008,7.182E+3,
1.028E008,7.216E+3,
1.03E08,7.266E+3,
1.032E008,7.145E+3,
1.034E008,7.063E+3,
1.036E008,7.236E+3,
1.038E008,7.218E+3,
1.04E08,7.198E+3,
1.042E008,7.307E+3,
1.044E008,7.126E+3,
1.046E008,7.107E+3,
1.048E008,7.228E+3,
1.05E08,7.138E+3,
1.052E008,7.143E+3,
1.054E008,7.264E+3,
1.056E008,7.184E+3,
1.058E008,7.064E+3,
1.06E08,7.310E+3,
1.062E008,7.115E+3,
1.064E008,7.158E+3,
1.066E008,7.389E+3,
1.068E008,7.267E+3,
1.07E08,7.325E+3,
1.072E008,7.163E+3,
1.074E008,7.400E+3,
1.076E008,7.220E+3,
1.078E008,7.243E+3,
1.08E08,7.262E+3,
1.082E008,7.231E+3,
1.084E008,7.257E+3,
1.086E008,7.222E+3,
1.088E008,7.181E+3,
1.09E08,7.200E+3,
1.092E008,7.185E+3,
1.094E008,7.025E+3,
1.096E008,7.181E+3,
1.098E008,7.127E+3,
1.1E08,7.119E+3,
1.102E008,7.122E+3,
1.104E008,7.428E+3,
1.106E008,7.316E+3,
1.108E008,7.063E+3,
1.11E08,7.187E+3,
1.112E008,7.283E+3,
1.114E008,7.167E+3,
1.116E008,7.003E+3,
1.118E008,6.974E+3,
1.12E08,7.155E+3,
1.122E008,7.064E+3,
1.124E008,7.005E+3,
1.126E008,6.974E+3,
1.128E008,7.213E+3,
1.13E08,7.004E+3,
1.132E008,7.257E+3,
1.134E008,7.207E+3,
1.136E008,7.199E+3,
1.138E008,7.272E+3,
1.14E08,6.986E+3,
1.142E008,7.218E+3,
1.144E008,7.199E+3,
1.146E008,6.966E+3,
1.148E008,7.123E+3,
1.15E08,7.286E+3,
1.152E008,7.148E+3,
1.154E008,7.093E+3,
1.156E008,7.240E+3,
1.158E008,7.270E+3,
1.16E08,6.997E+3,
1.162E008,7.241E+3,
1.164E008,7.069E+3,
1.166E008,7.052E+3,
1.168E008,7.110E+3,
1.17E08,7.176E+3,
1.172E008,7.275E+3,
1.174E008,7.106E+3,
1.176E008,7.251E+3,
1.178E008,7.131E+3,
1.18E08,7.216E+3,
1.182E008,7.242E+3,
1.184E008,7.200E+3,
1.186E008,7.033E+3,
1.188E008,7.187E+3,
1.19E08,7.262E+3,
1.192E008,7.031E+3,
1.194E008,7.145E+3,
1.196E008,7.268E+3,
1.198E008,6.989E+3,
1.2E08,7.239E+3,
1.202E008,7.194E+3,
1.204E008,7.014E+3,
1.206E008,7.129E+3,
1.208E008,7.076E+3,
1.21E08,7.197E+3,
1.212E008,7.316E+3,
1.214E008,7.167E+3,
1.216E008,6.982E+3,
1.218E008,7.158E+3,
1.22E08,7.146E+3,
1.222E008,7.163E+3,
1.224E008,7.291E+3,
1.226E008,7.132E+3,
1.228E008,7.297E+3,
1.23E08,7.321E+3,
1.232E008,7.190E+3,
1.234E008,7.315E+3,
1.236E008,7.172E+3,
1.238E008,7.226E+3,
1.24E08,7.252E+3,
1.242E008,7.101E+3,
1.244E008,7.052E+3,
1.246E008,7.120E+3,
1.248E008,7.236E+3,
1.25E08,7.261E+3,
1.252E008,7.116E+3,
1.254E008,7.084E+3,
1.256E008,7.014E+3,
1.258E008,7.046E+3,
1.26E08,7.266E+3,
1.262E008,7.129E+3,
1.264E008,7.201E+3,
1.266E008,7.308E+3,
1.268E008,7.138E+3,
1.27E08,7.070E+3,
1.272E008,7.062E+3,
1.274E008,7.119E+3,
1.276E008,7.174E+3,
1.278E008,7.352E+3,
1.28E08,7.114E+3,
1.282E008,7.098E+3,
1.284E008,7.070E+3,
1.286E008,7.285E+3,
1.288E008,7.171E+3,
1.29E08,6.884E+3,
1.292E008,7.122E+3,
1.294E008,7.162E+3,
1.296E008,7.131E+3,
1.298E008,7.132E+3,
1.3E08,7.220E+3,
1.302E008,7.291E+3,
1.304E008,7.091E+3,
1.306E008,7.062E+3,
1.308E008,7.106E+3,
1.31E08,7.149E+3,
1.312E008,7.069E+3,
1.314E008,7.216E+3,
1.316E008,7.107E+3,
1.318E008,7.248E+3,
1.32E08,7.246E+3,
1.322E008,7.165E+3,
1.324E008,7.276E+3,
1.326E008,7.340E+3,
1.328E008,7.176E+3,
1.33E08,7.275E+3,
1.332E008,7.038E+3,
1.334E008,7.106E+3,
1.336E008,7.234E+3,
1.338E008,7.238E+3,
1.34E08,7.154E+3,
1.342E008,7.207E+3,
1.344E008,7.239E+3,
1.346E008,7.005E+3,
1.348E008,7.270E+3,
1.35E08,7.186E+3,
1.352E008,7.134E+3,
1.354E008,7.139E+3,
1.356E008,7.167E+3,
1.358E008,7.147E+3,
1.36E08,7.264E+3,
1.362E008,7.001E+3,
