Labels,T24_decay_air,
Type,Time Scan,
Comment,,
Start,0.00,
Stop,99975008.000000,
Step,2.5E04,
Fixed/Offset, ,
XAxis,Time,
YAxis,Counts,

7125000.600000,2.510E+4,
7150000.600000,2.517E+4,
7175000.600000,2.507E+4,
7200000.600000,2.514E+4,
7225000.600000,2.501E+4,
7250000.600000,2.503E+4,
7275000.600000,2.505E+4,
7300000.600000,2.500E+4,
7325000.600000,2.507E+4,
7350000.600000,2.471E+4,
7375000.600000,2.493E+4,
7400000.600000,2.498E+4,
7425000.600000,2.456E+4,
7450000.600000,2.477E+4,
7475000.600000,2.467E+4,
7500000.600000,2.459E+4,
7525000.600000,2.457E+4,
7550000.600000,2.440E+4,
7575000.600000,2.433E+4,
7600000.600000,2.456E+4,
7625000.600000,2.466E+4,
7650000.600000,2.433E+4,
7675000.600000,2.428E+4,
7700000.600000,2.406E+4,
7725000.600000,2.441E+4,
7750000.600000,2.434E+4,
7775000.600000,2.439E+4,
7800000.600000,2.404E+4,
7825000.600000,2.391E+4,
7850000.600000,2.410E+4,
7875000.600000,2.410E+4,
7900000.600000,2.368E+4,
7925000.600000,2.428E+4,
7950000.600000,2.409E+4,
7975000.600000,2.365E+4,
8000000.600000,2.378E+4,
8025000.600000,2.367E+4,
8050000.600000,2.350E+4,
8075000.600000,2.378E+4,
8100000.600000,2.361E+4,
8125000.600000,2.333E+4,
8150000.600000,2.339E+4,
8175000.600000,2.338E+4,
8200000.600000,2.316E+4,
8225000.600000,2.326E+4,
8250000.600000,2.306E+4,
8275000.600000,2.306E+4,
8300000.600000,2.334E+4,
8325000.700000,2.299E+4,
8350000.700000,2.328E+4,
8375000.700000,2.301E+4,
8400000.700000,2.277E+4,
8425000.700000,2.298E+4,
8450000.700000,2.301E+4,
8475000.700000,2.283E+4,
8500000.700000,2.298E+4,
8525000.700000,2.307E+4,
8550000.700000,2.272E+4,
8575000.700000,2.277E+4,
8600000.700000,2.261E+4,
8625000.700000,2.241E+4,
8650000.700000,2.253E+4,
8675000.700000,2.268E+4,
8700000.700000,2.251E+4,
8725000.700000,2.234E+4,
8750000.700000,2.248E+4,
8775000.700000,2.242E+4,
8800000.700000,2.247E+4,
8825000.700000,2.230E+4,
8850000.700000,2.216E+4,
8875000.700000,2.229E+4,
8900000.700000,2.210E+4,
8925000.700000,2.219E+4,
8950000.700000,2.198E+4,
8975000.700000,2.207E+4,
9000000.700000,2.208E+4,
9025000.700000,2.181E+4,
9050000.700000,2.195E+4,
9075000.700000,2.183E+4,
9100000.700000,2.191E+4,
9125000.700000,2.187E+4,
9150000.700000,2.191E+4,
9175000.700000,2.145E+4,
9200000.700000,2.184E+4,
9225000.700000,2.163E+4,
9250000.700000,2.119E+4,
9275000.700000,2.177E+4,
9300000.700000,2.165E+4,
9325000.700000,2.171E+4,
9350000.700000,2.151E+4,
9375000.700000,2.146E+4,
9400000.700000,2.148E+4,
9425000.700000,2.117E+4,
9450000.700000,2.134E+4,
9475000.700000,2.120E+4,
9500000.700000,2.115E+4,
9525000.700000,2.098E+4,
9550000.700000,2.142E+4,
9575000.700000,2.104E+4,
9600000.800000,2.087E+4,
9625000.800000,2.087E+4,
9650000.800000,2.087E+4,
9675000.800000,2.078E+4,
9700000.800000,2.071E+4,
9725000.800000,2.091E+4,
9750000.800000,2.057E+4,
9775000.800000,2.063E+4,
9800000.800000,2.074E+4,
9825000.800000,2.089E+4,
9850000.800000,2.055E+4,
9875000.800000,2.064E+4,
9900000.800000,2.059E+4,
9925000.800000,2.067E+4,
9950000.800000,2.056E+4,
9975000.800000,2.038E+4,
1E07,2.060E+4,
1.0025E0007,2.022E+4,
1.005E007,2.026E+4,
1.0075E0007,2.048E+4,
1.01E07,2.013E+4,
1.0125E0007,2.017E+4,
1.015E007,2.018E+4,
1.0175E0007,2.013E+4,
1.02E07,2.009E+4,
1.0225E0007,2.002E+4,
1.025E007,2.016E+4,
1.0275E0007,1.979E+4,
1.03E07,1.981E+4,
1.0325E0007,1.975E+4,
1.035E007,1.996E+4,
1.0375E0007,1.965E+4,
1.04E07,1.964E+4,
1.0425E0007,1.996E+4,
1.045E007,1.967E+4,
1.0475E0007,1.983E+4,
1.05E07,1.968E+4,
1.0525E0007,1.960E+4,
1.055E007,1.932E+4,
1.0575E0007,1.959E+4,
1.06E07,1.963E+4,
1.0625E0007,1.970E+4,
1.065E007,1.945E+4,
