Labels,T2_air,
Type,Time Scan,
Comment,,
Start,0.00,
Stop,99975008.000000,
Step,2.5E04,
Fixed/Offset, ,
XAxis,Time,
YAxis,Counts,

7575000.600000,2.148E+4,
7600000.600000,2.151E+4,
7625000.600000,2.126E+4,
7650000.600000,2.147E+4,
7675000.600000,2.143E+4,
7700000.600000,2.134E+4,
7725000.600000,2.139E+4,
7750000.600000,2.133E+4,
7775000.600000,2.101E+4,
7800000.600000,2.096E+4,
7825000.600000,2.107E+4,
7850000.600000,2.102E+4,
7875000.600000,2.100E+4,
7900000.600000,2.082E+4,
7925000.600000,2.099E+4,
7950000.600000,2.083E+4,
7975000.600000,2.071E+4,
8000000.600000,2.059E+4,
8025000.600000,2.089E+4,
8050000.600000,2.074E+4,
8075000.600000,2.076E+4,
8100000.600000,2.061E+4,
8125000.600000,2.054E+4,
8150000.600000,2.056E+4,
8175000.600000,2.067E+4,
8200000.600000,2.036E+4,
8225000.600000,2.061E+4,
8250000.600000,2.020E+4,
8275000.600000,2.026E+4,
8300000.600000,2.017E+4,
8325000.700000,2.050E+4,
8350000.700000,2.024E+4,
8375000.700000,2.029E+4,
8400000.700000,2.026E+4,
8425000.700000,1.995E+4,
8450000.700000,2.025E+4,
8475000.700000,2.021E+4,
8500000.700000,1.991E+4,
8525000.700000,2.015E+4,
8550000.700000,2.002E+4,
8575000.700000,2.003E+4,
8600000.700000,1.983E+4,
8625000.700000,1.991E+4,
8650000.700000,1.982E+4,
8675000.700000,1.952E+4,
8700000.700000,1.987E+4,
8725000.700000,1.970E+4,
8750000.700000,1.949E+4,
8775000.700000,1.945E+4,
8800000.700000,1.959E+4,
8825000.700000,1.961E+4,
8850000.700000,1.943E+4,
8875000.700000,1.969E+4,
8900000.700000,1.940E+4,
8925000.700000,1.930E+4,
8950000.700000,1.927E+4,
8975000.700000,1.903E+4,
9000000.700000,1.932E+4,
9025000.700000,1.961E+4,
9050000.700000,1.904E+4,
9075000.700000,1.891E+4,
9100000.700000,1.938E+4,
9125000.700000,1.908E+4,
9150000.700000,1.922E+4,
9175000.700000,1.901E+4,
9200000.700000,1.903E+4,
9225000.700000,1.851E+4,
9250000.700000,1.889E+4,
9275000.700000,1.867E+4,
9300000.700000,1.884E+4,
9325000.700000,1.881E+4,
9350000.700000,1.889E+4,
9375000.700000,1.852E+4,
9400000.700000,1.835E+4,
9425000.700000,1.882E+4,
9450000.700000,1.874E+4,
9475000.700000,1.854E+4,
9500000.700000,1.869E+4,
9525000.700000,1.852E+4,
9550000.700000,1.864E+4,
9575000.700000,1.833E+4,
9600000.800000,1.820E+4,
9625000.800000,1.866E+4,
9650000.800000,1.798E+4,
9675000.800000,1.835E+4,
9700000.800000,1.821E+4,
9725000.800000,1.848E+4,
9750000.800000,1.823E+4,
9775000.800000,1.831E+4,
9800000.800000,1.842E+4,
9825000.800000,1.805E+4,
9850000.800000,1.805E+4,
9875000.800000,1.819E+4,
9900000.800000,1.832E+4,
9925000.800000,1.825E+4,
9950000.800000,1.764E+4,
9975000.800000,1.803E+4,
1E07,1.802E+4,
1.0025E0007,1.771E+4,
1.005E007,1.771E+4,
1.0075E0007,1.777E+4,
1.01E07,1.767E+4,
1.0125E0007,1.777E+4,
1.015E007,1.791E+4,
1.0175E0007,1.781E+4,
1.02E07,1.759E+4,
1.0225E0007,1.735E+4,
1.025E007,1.728E+4,
1.0275E0007,1.737E+4,
1.03E07,1.740E+4,
1.0325E0007,1.748E+4,
1.035E007,1.725E+4,
1.0375E0007,1.750E+4,
1.04E07,1.718E+4,
1.0425E0007,1.753E+4,
1.045E007,1.723E+4,
1.0475E0007,1.701E+4,
1.05E07,1.719E+4,
1.0525E0007,1.695E+4,
1.055E007,1.731E+4,
1.0575E0007,1.694E+4,
1.06E07,1.696E+4,
1.0625E0007,1.709E+4,
1.065E007,1.727E+4,
1.0675E0007,1.706E+4,
1.07E07,1.688E+4,
1.0725E0007,1.659E+4,
1.075E007,1.695E+4,
1.0775E0007,1.703E+4,
1.08E07,1.678E+4,
1.0825E0007,1.658E+4,
1.085E007,1.649E+4,
1.0875E0007,1.681E+4,
1.09E07,1.676E+4,
1.0925E0007,1.639E+4,
1.095E007,1.676E+4,
1.0975E0007,1.658E+4,
1.1E07,1.653E+4,
1.1025E0007,1.635E+4,
1.105E007,1.645E+4,
1.1075E0007,1.641E+4,
1.11E07,1.646E+4,
1.1125E0007,1.635E+4,
1.115E007,1.620E+4,
1.1175E0007,1.636E+4,
1.12E07,1.642E+4,
1.1225E0007,1.631E+4,
1.125E007,1.618E+4,
1.1275E0007,1.618E+4,
1.13E07,1.623E+4,
1.1325E0007,1.613E+4,
1.135E007,1.602E+4,
1.1375E0007,1.600E+4,
1.14E07,1.578E+4,
1.1425E0007,1.624E+4,
1.145E007,1.616E+4,
1.1475E0007,1.608E+4,
1.15E07,1.591E+4,
1.1525E0007,1.603E+4,
1.155E007,1.592E+4,
1.1575E0007,1.586E+4,
1.16E07,1.591E+4,
1.1625E0007,1.564E+4,
1.165E007,1.560E+4,
1.1675E0007,1.599E+4,
1.17E07,1.538E+4,
1.1725E0007,1.563E+4,
1.175E007,1.565E+4,
1.1775E0007,1.565E+4,
1.18E07,1.541E+4,
1.1825E0007,1.531E+4,
1.185E007,1.546E+4,
1.1875E0007,1.535E+4,
1.19E07,1.541E+4,
1.1925E0007,1.546E+4,
1.195E007,1.552E+4,
1.1975E0007,1.537E+4,
1.2E07,1.541E+4,
1.2025E0007,1.514E+4,
1.205E007,1.524E+4,
1.2075E0007,1.529E+4,
1.21E07,1.538E+4,
1.2125E0007,1.514E+4,
1.215E007,1.516E+4,
1.2175E0007,1.517E+4,
1.22E07,1.505E+4,
1.2225E0007,1.496E+4,
1.225E007,1.514E+4,
1.2275E0007,1.512E+4,
1.23E07,1.459E+4,
1.2325E0007,1.496E+4,
1.235E007,1.498E+4,
1.2375E0007,1.501E+4,
1.24E07,1.490E+4,
1.2425E0007,1.492E+4,
1.245E007,1.476E+4,
1.2475E0007,1.479E+4,
1.25E07,1.481E+4,
1.2525E0007,1.481E+4,
1.255E007,1.474E+4,
1.2575E0007,1.466E+4,
1.26E07,1.462E+4,
1.2625E0007,1.492E+4,
1.265E007,1.453E+4,
1.2675E0007,1.466E+4,
1.27E07,1.446E+4,
1.2725E0007,1.448E+4,
1.275E007,1.444E+4,
1.2775E0007,1.446E+4,
1.28E07,1.435E+4,
1.2825E0007,1.438E+4,
1.285E007,1.449E+4,
1.2875E0007,1.431E+4,
1.29E07,1.435E+4,
1.2925E0007,1.410E+4,
1.295E007,1.417E+4,
1.2975E0007,1.412E+4,
1.3E07,1.430E+4,
1.3025E0007,1.415E+4,
1.305E007,1.429E+4,
1.3075E0007,1.395E+4,
1.31E07,1.403E+4,
1.3125E0007,1.404E+4,
1.315E007,1.417E+4,
1.3175E0007,1.409E+4,
1.32E07,1.400E+4,
1.3225E0007,1.393E+4,
1.325E007,1.388E+4,
1.3275E0007,1.387E+4,
1.33E07,1.379E+4,
1.3325E0007,1.407E+4,
1.335E007,1.385E+4,
1.3375E0007,1.362E+4,
1.34E07,1.370E+4,
1.3425E0007,1.377E+4,
1.345E007,1.394E+4,
1.3475E0007,1.362E+4,
1.35E07,1.356E+4,
1.3525E0007,1.378E+4,
1.355E007,1.342E+4,
1.3575E0007,1.336E+4,
1.36E07,1.350E+4,
1.3625E0007,1.356E+4,
1.365E007,1.351E+4,
1.3675E0007,1.364E+4,
1.37E07,1.346E+4,
1.3725E0007,1.340E+4,
1.375E007,1.319E+4,
1.3775E0007,1.336E+4,
1.38E07,1.349E+4,
1.3825E0007,1.351E+4,
1.385E007,1.316E+4,
1.3875E0007,1.336E+4,
1.39E07,1.316E+4,
1.3925E0007,1.315E+4,
1.395E007,1.308E+4,
1.3975E0007,1.347E+4,
1.4E07,1.298E+4,
1.4025E0007,1.320E+4,
1.405E007,1.300E+4,
1.4075E0007,1.305E+4,
1.41E07,1.306E+4,
1.4125E0007,1.306E+4,
1.415E007,1.303E+4,
1.4175E0007,1.276E+4,
1.42E07,1.296E+4,
1.4225E0007,1.308E+4,
1.425E007,1.315E+4,
1.4275E0007,1.283E+4,
1.43E07,1.296E+4,
1.4325E0007,1.302E+4,
1.435E007,1.289E+4,
1.4375E0007,1.271E+4,
1.44E07,1.284E+4,
1.4425E0007,1.291E+4,
1.445E007,1.282E+4,
1.4475E0007,1.283E+4,
1.45E07,1.301E+4,
1.4525E0007,1.269E+4,
1.455E007,1.289E+4,
1.4575E0007,1.260E+4,
1.46E07,1.267E+4,
1.4625E0007,1.267E+4,
1.465E007,1.265E+4,
1.4675E0007,1.261E+4,
1.47E07,1.246E+4,
1.4725E0007,1.246E+4,
1.475E007,1.241E+4,
1.4775E0007,1.228E+4,
1.48E07,1.252E+4,
1.4825E0007,1.245E+4,
1.485E007,1.239E+4,
1.4875E0007,1.262E+4,
1.49E07,1.241E+4,
1.4925E0007,1.237E+4,
1.495E007,1.238E+4,
1.4975E0007,1.221E+4,
1.5E07,1.218E+4,
1.5025E0007,1.231E+4,
1.505E007,1.219E+4,
1.5075E0007,1.217E+4,
1.51E07,1.222E+4,
1.5125E0007,1.210E+4,
1.515E007,1.194E+4,
1.5175E0007,1.212E+4,
1.52E07,1.195E+4,
1.5225E0007,1.216E+4,
1.525E007,1.213E+4,
1.5275E0007,1.193E+4,
1.53E07,1.216E+4,
1.5325E0007,1.218E+4,
1.535E007,1.181E+4,
1.5375E0007,1.199E+4,
1.54E07,1.178E+4,
1.5425E0007,1.165E+4,
1.545E007,1.202E+4,
1.5475E0007,1.178E+4,
1.55E07,1.188E+4,
1.5525E0007,1.173E+4,
1.555E007,1.171E+4,
1.5575E0007,1.168E+4,
1.56E07,1.179E+4,
1.5625E0007,1.164E+4,
1.565E007,1.163E+4,
1.5675E0007,1.157E+4,
1.57E07,1.165E+4,
1.5725E0007,1.141E+4,
1.575E007,1.167E+4,
1.5775E0007,1.147E+4,
1.58E07,1.133E+4,
1.5825E0007,1.144E+4,
1.585E007,1.152E+4,
1.5875E0007,1.148E+4,
1.59E07,1.147E+4,
1.5925E0007,1.145E+4,
1.595E007,1.148E+4,
1.5975E0007,1.134E+4,
1.6E07,1.116E+4,
1.6025E0007,1.132E+4,
1.605E007,1.130E+4,
1.6075E0007,1.135E+4,
1.61E07,1.131E+4,
1.6125E0007,1.140E+4,
1.615E007,1.110E+4,
1.6175E0007,1.111E+4,
1.62E07,1.137E+4,
1.6225E0007,1.132E+4,
1.625E007,1.127E+4,
1.6275E0007,1.107E+4,
1.63E07,1.116E+4,
1.6325E0007,1.107E+4,
1.635E007,1.098E+4,
1.6375E0007,1.130E+4,
1.64E07,1.083E+4,
1.6425E0007,1.095E+4,
1.645E007,1.100E+4,
1.6475E0007,1.059E+4,
1.65E07,1.115E+4,
1.6525E0007,1.085E+4,
1.655E007,1.081E+4,
1.6575E0007,1.081E+4,
1.66E07,1.084E+4,
1.6625E0007,1.064E+4,
1.665E007,1.078E+4,
1.6675E0007,1.092E+4,
1.67E07,1.098E+4,
1.6725E0007,1.057E+4,
1.675E007,1.078E+4,
1.6775E0007,1.068E+4,
1.68E07,1.071E+4,
1.6825E0007,1.062E+4,
1.685E007,1.069E+4,
1.6875E0007,1.059E+4,
1.69E07,1.062E+4,
1.6925E0007,1.039E+4,
1.695E007,1.044E+4,
1.6975E0007,1.084E+4,
1.7E07,1.066E+4,
1.7025E0007,1.049E+4,
1.705E007,1.053E+4,
1.7075E0007,1.068E+4,
1.71E07,1.029E+4,
1.7125E0007,1.033E+4,
1.715E007,1.040E+4,
1.7175E0007,1.038E+4,
1.72E07,1.054E+4,
1.7225E0007,1.039E+4,
1.725E007,1.040E+4,
1.7275E0007,1.039E+4,
1.73E07,1.023E+4,
1.7325E0007,1.013E+4,
1.735E007,1.017E+4,
1.7375E0007,1.034E+4,
1.74E07,1.037E+4,
1.7425E0007,1.018E+4,
1.745E007,9.929E+3,
1.7475E0007,1.025E+4,
1.75E07,1.013E+4,
1.7525E0007,1.010E+4,
1.755E007,1.021E+4,
1.7575E0007,1.023E+4,
1.76E07,1.005E+4,
1.7625E0007,1.002E+4,
1.765E007,1.005E+4,
1.7675E0007,1.005E+4,
1.77E07,9.921E+3,
1.7725E0007,9.966E+3,
1.775E007,1.002E+4,
1.7775E0007,9.978E+3,
1.78E07,1.000E+4,
1.7825E0007,9.973E+3,
1.785E007,9.903E+3,
1.7875E0007,9.863E+3,
1.79E07,9.842E+3,
1.7925E0007,9.834E+3,
1.795E007,9.775E+3,
1.7975E0007,9.774E+3,
1.8E07,9.867E+3,
1.8025E0007,9.753E+3,
1.805E007,9.663E+3,
1.8075E0007,9.588E+3,
1.81E07,9.720E+3,
1.8125E0007,9.649E+3,
1.815E007,9.676E+3,
1.8175E0007,9.494E+3,
1.82E07,9.709E+3,
1.8225E0007,9.533E+3,
1.825E007,9.755E+3,
1.8275E0007,9.812E+3,
1.83E07,9.543E+3,
1.8325E0007,9.284E+3,
1.835E007,9.427E+3,
1.8375E0007,9.479E+3,
1.84E07,9.349E+3,
1.8425E0007,9.419E+3,
1.845E007,9.536E+3,
1.8475E0007,9.525E+3,
1.85E07,9.607E+3,
1.8525E0007,9.229E+3,
1.855E007,9.397E+3,
1.8575E0007,9.350E+3,
1.86E07,9.217E+3,
1.8625E0007,9.378E+3,
1.865E007,9.419E+3,
1.8675E0007,9.146E+3,
1.87E07,9.326E+3,
1.8725E0007,9.334E+3,
1.875E007,9.327E+3,
1.8775E0007,9.212E+3,
1.88E07,9.196E+3,
1.8825E0007,9.317E+3,
1.885E007,9.190E+3,
1.8875E0007,9.347E+3,
1.89E07,9.165E+3,
1.8925E0007,9.091E+3,
1.895E007,8.965E+3,
1.8975E0007,9.033E+3,
1.9E07,9.013E+3,
1.9025E0007,9.095E+3,
1.905E007,9.088E+3,
1.9075E0007,9.127E+3,
1.91E07,9.022E+3,
1.9125E0007,9.066E+3,
1.915E007,9.246E+3,
1.9175E0007,8.881E+3,
